timestamp,supply(kg),item,corporation,location
2019-04-10,0.0,TG,A,J
2019-04-11,369.0,TG,A,J
2019-04-12,1393.0,TG,A,J
2019-04-13,69.0,TG,A,J
2019-04-14,0.0,TG,A,J
2019-04-15,0.0,TG,A,J
2019-04-16,0.0,TG,A,J
2019-04-17,0.0,TG,A,J
2019-04-18,0.0,TG,A,J
2019-04-19,576.0,TG,A,J
2019-04-20,0.0,TG,A,J
2019-04-21,0.0,TG,A,J
2019-04-22,750.0,TG,A,J
2019-04-23,380.0,TG,A,J
2019-04-24,770.0,TG,A,J
2019-04-25,0.0,TG,A,J
2019-04-26,0.0,TG,A,J
2019-04-27,0.0,TG,A,J
2019-04-28,0.0,TG,A,J
2019-04-29,0.0,TG,A,J
2019-04-30,0.0,TG,A,J
2019-05-01,1070.0,TG,A,J
2019-05-02,0.0,TG,A,J
2019-05-03,0.0,TG,A,J
2019-05-04,0.0,TG,A,J
2019-05-05,0.0,TG,A,J
2019-05-06,1600.0,TG,A,J
2019-05-07,0.0,TG,A,J
2019-05-08,0.0,TG,A,J
2019-05-09,252.0,TG,A,J
2019-05-10,2083.0,TG,A,J
2019-05-11,658.0,TG,A,J
2019-05-12,0.0,TG,A,J
2019-05-13,0.0,TG,A,J
2019-05-14,843.0,TG,A,J
2019-05-15,206.0,TG,A,J
2019-05-16,0.0,TG,A,J
2019-05-17,382.0,TG,A,J
2019-05-18,0.0,TG,A,J
2019-05-19,0.0,TG,A,J
2019-05-20,0.0,TG,A,J
2019-05-21,0.0,TG,A,J
2019-05-22,0.0,TG,A,J
2019-05-23,0.0,TG,A,J
2019-05-24,0.0,TG,A,J
2019-05-25,0.0,TG,A,J
2019-05-26,0.0,TG,A,J
2019-05-27,0.0,TG,A,J
2019-05-28,0.0,TG,A,J
2019-05-29,0.0,TG,A,J
2019-05-30,0.0,TG,A,J
2019-05-31,0.0,TG,A,J
2019-06-01,315.0,TG,A,J
2019-06-02,0.0,TG,A,J
2019-06-03,308.0,TG,A,J
2019-06-04,0.0,TG,A,J
2019-06-05,0.0,TG,A,J
2019-06-06,0.0,TG,A,J
2019-06-07,0.0,TG,A,J
2019-06-08,0.0,TG,A,J
2019-06-09,0.0,TG,A,J
2019-06-10,0.0,TG,A,J
2019-06-11,0.0,TG,A,J
2019-06-12,0.0,TG,A,J
2019-06-13,0.0,TG,A,J
2019-06-14,0.0,TG,A,J
2019-06-15,0.0,TG,A,J
2019-06-16,0.0,TG,A,J
2019-06-17,0.0,TG,A,J
2019-06-18,0.0,TG,A,J
2019-06-19,0.0,TG,A,J
2019-06-20,0.0,TG,A,J
2019-06-21,498.0,TG,A,J
2019-06-22,0.0,TG,A,J
2019-06-23,0.0,TG,A,J
2019-06-24,0.0,TG,A,J
2019-06-25,0.0,TG,A,J
2019-06-26,0.0,TG,A,J
2019-06-27,720.0,TG,A,J
2019-06-28,0.0,TG,A,J
2019-06-29,0.0,TG,A,J
2019-06-30,0.0,TG,A,J
2019-07-01,0.0,TG,A,J
2019-07-02,0.0,TG,A,J
2019-07-03,0.0,TG,A,J
2019-07-04,0.0,TG,A,J
2019-07-05,0.0,TG,A,J
2019-07-06,552.0,TG,A,J
2019-07-07,0.0,TG,A,J
2019-07-08,900.0,TG,A,J
2019-07-09,0.0,TG,A,J
2019-07-10,0.0,TG,A,J
2019-07-11,0.0,TG,A,J
2019-07-12,0.0,TG,A,J
2019-07-13,0.0,TG,A,J
2019-07-14,0.0,TG,A,J
2019-07-15,0.0,TG,A,J
2019-07-16,0.0,TG,A,J
2019-07-17,660.0,TG,A,J
2019-07-18,360.0,TG,A,J
2019-07-19,0.0,TG,A,J
2019-07-20,0.0,TG,A,J
2019-07-21,0.0,TG,A,J
2019-07-22,135.0,TG,A,J
2019-07-23,141.0,TG,A,J
2019-07-24,0.0,TG,A,J
2019-07-25,0.0,TG,A,J
2019-07-26,0.0,TG,A,J
2019-07-27,3190.2,TG,A,J
2019-07-28,0.0,TG,A,J
2019-07-29,0.0,TG,A,J
2019-07-30,0.0,TG,A,J
2019-07-31,0.0,TG,A,J
2019-08-01,0.0,TG,A,J
2019-08-02,340.0,TG,A,J
2019-08-03,0.0,TG,A,J
2019-08-04,0.0,TG,A,J
2019-08-05,339.0,TG,A,J
2019-08-06,0.0,TG,A,J
2019-08-07,0.0,TG,A,J
2019-08-08,735.0,TG,A,J
2019-08-09,0.0,TG,A,J
2019-08-10,171.0,TG,A,J
2019-08-11,0.0,TG,A,J
2019-08-12,0.0,TG,A,J
2019-08-13,2538.7,TG,A,J
2019-08-14,0.0,TG,A,J
2019-08-15,531.0,TG,A,J
2019-08-16,0.0,TG,A,J
2019-08-17,0.0,TG,A,J
2019-08-18,0.0,TG,A,J
2019-08-19,0.0,TG,A,J
2019-08-20,0.0,TG,A,J
2019-08-21,0.0,TG,A,J
2019-08-22,0.0,TG,A,J
2019-08-23,0.0,TG,A,J
2019-08-24,0.0,TG,A,J
2019-08-25,0.0,TG,A,J
2019-08-26,0.0,TG,A,J
2019-08-27,0.0,TG,A,J
2019-08-28,1111.0,TG,A,J
2019-08-29,0.0,TG,A,J
2019-08-30,192.0,TG,A,J
2019-08-31,420.0,TG,A,J
2019-09-01,0.0,TG,A,J
2019-09-02,1599.0,TG,A,J
2019-09-03,446.0,TG,A,J
2019-09-04,132.0,TG,A,J
2019-09-05,1038.0,TG,A,J
2019-09-06,0.0,TG,A,J
2019-09-07,598.0,TG,A,J
2019-09-08,0.0,TG,A,J
2019-09-09,300.0,TG,A,J
2019-09-10,1344.0,TG,A,J
2019-09-11,276.0,TG,A,J
2019-09-12,57.6,TG,A,J
2019-09-13,0.0,TG,A,J
2019-09-14,0.0,TG,A,J
2019-09-15,0.0,TG,A,J
2019-09-16,350.0,TG,A,J
2019-09-17,100.0,TG,A,J
2019-09-18,0.0,TG,A,J
2019-09-19,0.0,TG,A,J
2019-09-20,0.0,TG,A,J
2019-09-21,200.0,TG,A,J
2019-09-22,0.0,TG,A,J
2019-09-23,0.0,TG,A,J
2019-09-24,200.0,TG,A,J
2019-09-25,200.0,TG,A,J
2019-09-26,0.0,TG,A,J
2019-09-27,0.0,TG,A,J
2019-09-28,0.0,TG,A,J
2019-09-29,0.0,TG,A,J
2019-09-30,2406.0,TG,A,J
2019-10-01,1800.0,TG,A,J
2019-10-02,2270.0,TG,A,J
2019-10-03,4360.0,TG,A,J
2019-10-04,0.0,TG,A,J
2019-10-05,1700.0,TG,A,J
2019-10-06,0.0,TG,A,J
2019-10-07,9640.0,TG,A,J
2019-10-08,4790.0,TG,A,J
2019-10-09,8265.0,TG,A,J
2019-10-10,1915.0,TG,A,J
2019-10-11,9475.0,TG,A,J
2019-10-12,15040.0,TG,A,J
2019-10-13,0.0,TG,A,J
2019-10-14,29160.0,TG,A,J
2019-10-15,22570.0,TG,A,J
2019-10-16,16964.0,TG,A,J
2019-10-17,17945.0,TG,A,J
2019-10-18,6980.0,TG,A,J
2019-10-19,12485.0,TG,A,J
2019-10-20,0.0,TG,A,J
2019-10-21,16025.0,TG,A,J
2019-10-22,11310.0,TG,A,J
2019-10-23,13300.0,TG,A,J
2019-10-24,23310.0,TG,A,J
2019-10-25,20355.0,TG,A,J
2019-10-26,10693.0,TG,A,J
2019-10-27,0.0,TG,A,J
2019-10-28,21343.0,TG,A,J
2019-10-29,17460.0,TG,A,J
2019-10-30,17141.0,TG,A,J
2019-10-31,14600.0,TG,A,J
2019-11-01,26440.0,TG,A,J
2019-11-02,18825.0,TG,A,J
2019-11-03,0.0,TG,A,J
2019-11-04,15318.0,TG,A,J
2019-11-05,19985.0,TG,A,J
2019-11-06,11968.0,TG,A,J
2019-11-07,11530.0,TG,A,J
2019-11-08,20500.0,TG,A,J
2019-11-09,8090.0,TG,A,J
2019-11-10,0.0,TG,A,J
2019-11-11,25938.0,TG,A,J
2019-11-12,13783.0,TG,A,J
2019-11-13,23410.0,TG,A,J
2019-11-14,29865.0,TG,A,J
2019-11-15,22600.0,TG,A,J
2019-11-16,16150.0,TG,A,J
2019-11-17,0.0,TG,A,J
2019-11-18,16584.0,TG,A,J
2019-11-19,12745.0,TG,A,J
2019-11-20,9600.0,TG,A,J
2019-11-21,13965.0,TG,A,J
2019-11-22,10305.0,TG,A,J
2019-11-23,11281.0,TG,A,J
2019-11-24,0.0,TG,A,J
2019-11-25,16544.0,TG,A,J
2019-11-26,17345.0,TG,A,J
2019-11-27,17100.0,TG,A,J
2019-11-28,15290.0,TG,A,J
2019-11-29,5571.0,TG,A,J
2019-11-30,3350.0,TG,A,J
2019-12-01,0.0,TG,A,J
2019-12-02,16329.0,TG,A,J
2019-12-03,7610.0,TG,A,J
2019-12-04,20210.0,TG,A,J
2019-12-05,21502.0,TG,A,J
2019-12-06,19540.0,TG,A,J
2019-12-07,23467.0,TG,A,J
2019-12-08,0.0,TG,A,J
2019-12-09,16980.0,TG,A,J
2019-12-10,12750.0,TG,A,J
2019-12-11,15054.0,TG,A,J
2019-12-12,78287.0,TG,A,J
2019-12-13,68517.0,TG,A,J
2019-12-14,16205.0,TG,A,J
2019-12-15,0.0,TG,A,J
2019-12-16,20223.0,TG,A,J
2019-12-17,11280.0,TG,A,J
2019-12-18,19940.0,TG,A,J
2019-12-19,12610.0,TG,A,J
2019-12-20,15472.0,TG,A,J
2019-12-21,18081.0,TG,A,J
2019-12-22,0.0,TG,A,J
2019-12-23,20077.0,TG,A,J
2019-12-24,15662.0,TG,A,J
2019-12-25,13070.0,TG,A,J
2019-12-26,9610.0,TG,A,J
2019-12-27,12205.0,TG,A,J
2019-12-28,15340.0,TG,A,J
2019-12-29,0.0,TG,A,J
2019-12-30,14140.0,TG,A,J
2019-12-31,7370.0,TG,A,J
2020-01-01,0.0,TG,A,J
2020-01-02,0.0,TG,A,J
2020-01-03,34570.0,TG,A,J
2020-01-04,8226.0,TG,A,J
2020-01-05,0.0,TG,A,J
2020-01-06,14630.0,TG,A,J
2020-01-07,8960.0,TG,A,J
2020-01-08,11070.0,TG,A,J
2020-01-09,11590.0,TG,A,J
2020-01-10,8830.0,TG,A,J
2020-01-11,10680.0,TG,A,J
2020-01-12,0.0,TG,A,J
2020-01-13,21622.0,TG,A,J
2020-01-14,10931.0,TG,A,J
2020-01-15,8290.0,TG,A,J
2020-01-16,8690.0,TG,A,J
2020-01-17,16967.0,TG,A,J
2020-01-18,8520.0,TG,A,J
2020-01-19,0.0,TG,A,J
2020-01-20,8490.0,TG,A,J
2020-01-21,3796.0,TG,A,J
2020-01-22,12830.0,TG,A,J
2020-01-23,16955.0,TG,A,J
2020-01-24,1620.0,TG,A,J
2020-01-25,0.0,TG,A,J
2020-01-26,0.0,TG,A,J
2020-01-27,0.0,TG,A,J
2020-01-28,1000.0,TG,A,J
2020-01-29,2084.0,TG,A,J
2020-01-30,3045.0,TG,A,J
2020-01-31,615.0,TG,A,J
2020-02-01,3170.0,TG,A,J
2020-02-02,0.0,TG,A,J
2020-02-03,5040.0,TG,A,J
2020-02-04,4300.0,TG,A,J
2020-02-05,7060.0,TG,A,J
2020-02-06,3760.0,TG,A,J
2020-02-07,1500.0,TG,A,J
2020-02-08,6130.0,TG,A,J
2020-02-09,0.0,TG,A,J
2020-02-10,5510.0,TG,A,J
2020-02-11,3830.0,TG,A,J
2020-02-12,8180.0,TG,A,J
2020-02-13,6530.0,TG,A,J
2020-02-14,6430.0,TG,A,J
2020-02-15,5310.0,TG,A,J
2020-02-16,0.0,TG,A,J
2020-02-17,5080.0,TG,A,J
2020-02-18,3566.0,TG,A,J
2020-02-19,6431.0,TG,A,J
2020-02-20,3680.0,TG,A,J
2020-02-21,6090.0,TG,A,J
2020-02-22,2330.0,TG,A,J
2020-02-23,0.0,TG,A,J
2020-02-24,480.0,TG,A,J
2020-02-25,839.0,TG,A,J
2020-02-26,2473.0,TG,A,J
2020-02-27,0.0,TG,A,J
2020-02-28,750.0,TG,A,J
2020-02-29,0.0,TG,A,J
2020-03-01,0.0,TG,A,J
2020-03-02,7106.0,TG,A,J
2020-03-03,1000.0,TG,A,J
2020-03-04,242.0,TG,A,J
2020-03-05,1000.0,TG,A,J
2020-03-06,222.0,TG,A,J
2020-03-07,0.0,TG,A,J
2020-03-08,0.0,TG,A,J
2020-03-09,530.0,TG,A,J
2020-03-10,1810.0,TG,A,J
2020-03-11,300.0,TG,A,J
2020-03-12,0.0,TG,A,J
2020-03-13,800.0,TG,A,J
2020-03-14,0.0,TG,A,J
2020-03-15,0.0,TG,A,J
2020-03-16,1430.0,TG,A,J
2020-03-17,0.0,TG,A,J
2020-03-18,130.0,TG,A,J
2020-03-19,1600.0,TG,A,J
2020-03-20,2240.0,TG,A,J
2020-03-21,3400.0,TG,A,J
2020-03-22,0.0,TG,A,J
2020-03-23,1600.0,TG,A,J
2020-03-24,450.0,TG,A,J
2020-03-25,13420.0,TG,A,J
2020-03-26,910.0,TG,A,J
2020-03-27,4305.0,TG,A,J
2020-03-28,1740.0,TG,A,J
2020-03-29,0.0,TG,A,J
2020-03-30,260.0,TG,A,J
2020-03-31,1280.0,TG,A,J
2020-04-01,0.0,TG,A,J
2020-04-02,1566.0,TG,A,J
2020-04-03,2170.0,TG,A,J
2020-04-04,2140.0,TG,A,J
2020-04-05,0.0,TG,A,J
2020-04-06,1660.0,TG,A,J
2020-04-07,3892.0,TG,A,J
2020-04-08,2050.0,TG,A,J
2020-04-09,1224.0,TG,A,J
2020-04-10,2172.0,TG,A,J
2020-04-11,1794.0,TG,A,J
2020-04-12,0.0,TG,A,J
2020-04-13,3496.5,TG,A,J
2020-04-14,3633.0,TG,A,J
2020-04-15,3714.5,TG,A,J
2020-04-16,3773.5,TG,A,J
2020-04-17,2344.0,TG,A,J
2020-04-18,3697.0,TG,A,J
2020-04-19,0.0,TG,A,J
2020-04-20,1431.0,TG,A,J
2020-04-21,2883.0,TG,A,J
2020-04-22,3502.0,TG,A,J
2020-04-23,2347.0,TG,A,J
2020-04-24,1150.0,TG,A,J
2020-04-25,1207.0,TG,A,J
2020-04-26,0.0,TG,A,J
2020-04-27,2154.0,TG,A,J
2020-04-28,956.0,TG,A,J
2020-04-29,0.0,TG,A,J
2020-04-30,338.0,TG,A,J
2020-05-01,674.0,TG,A,J
2020-05-02,45.0,TG,A,J
2020-05-03,0.0,TG,A,J
2020-05-04,80.0,TG,A,J
2020-05-05,0.0,TG,A,J
2020-05-06,0.0,TG,A,J
2020-05-07,37.5,TG,A,J
2020-05-08,0.0,TG,A,J
2020-05-09,132.0,TG,A,J
2020-05-10,0.0,TG,A,J
2020-05-11,298.0,TG,A,J
2020-05-12,24.5,TG,A,J
2020-05-13,0.0,TG,A,J
2020-05-14,102.0,TG,A,J
2020-05-15,0.0,TG,A,J
2020-05-16,166.0,TG,A,J
2020-05-17,0.0,TG,A,J
2020-05-18,139.0,TG,A,J
2020-05-19,0.0,TG,A,J
2020-05-20,0.0,TG,A,J
2020-05-21,0.0,TG,A,J
2020-05-22,0.0,TG,A,J
2020-05-23,0.0,TG,A,J
2020-05-24,0.0,TG,A,J
2020-05-25,0.0,TG,A,J
2020-05-26,0.0,TG,A,J
2020-05-27,0.0,TG,A,J
2020-05-28,0.0,TG,A,J
2020-05-29,0.0,TG,A,J
2020-05-30,0.0,TG,A,J
2020-05-31,0.0,TG,A,J
2020-06-01,0.0,TG,A,J
2020-06-02,0.0,TG,A,J
2020-06-03,0.0,TG,A,J
2020-06-04,0.0,TG,A,J
2020-06-05,1374.0,TG,A,J
2020-06-06,0.0,TG,A,J
2020-06-07,0.0,TG,A,J
2020-06-08,0.0,TG,A,J
2020-06-09,1338.0,TG,A,J
2020-06-10,162.0,TG,A,J
2020-06-11,0.0,TG,A,J
2020-06-12,0.0,TG,A,J
2020-06-13,0.0,TG,A,J
2020-06-14,0.0,TG,A,J
2020-06-15,0.0,TG,A,J
2020-06-16,150.0,TG,A,J
2020-06-17,0.0,TG,A,J
2020-06-18,1821.0,TG,A,J
2020-06-19,120.0,TG,A,J
2020-06-20,0.0,TG,A,J
2020-06-21,0.0,TG,A,J
2020-06-22,168.0,TG,A,J
2020-06-23,0.0,TG,A,J
2020-06-24,0.0,TG,A,J
2020-06-25,0.0,TG,A,J
2020-06-26,0.0,TG,A,J
2020-06-27,2900.0,TG,A,J
2020-06-28,0.0,TG,A,J
2020-06-29,5650.0,TG,A,J
2020-06-30,0.0,TG,A,J
2020-07-01,1032.0,TG,A,J
2020-07-02,0.0,TG,A,J
2020-07-03,1679.0,TG,A,J
2020-07-04,0.0,TG,A,J
2020-07-05,0.0,TG,A,J
2020-07-06,0.0,TG,A,J
2020-07-07,0.0,TG,A,J
2020-07-08,0.0,TG,A,J
2020-07-09,120.0,TG,A,J
2020-07-10,1168.0,TG,A,J
2020-07-11,0.0,TG,A,J
2020-07-12,0.0,TG,A,J
2020-07-13,0.0,TG,A,J
2020-07-14,0.0,TG,A,J
2020-07-15,1868.5,TG,A,J
2020-07-16,715.0,TG,A,J
2020-07-17,186.0,TG,A,J
2020-07-18,422.0,TG,A,J
2020-07-19,0.0,TG,A,J
2020-07-20,1490.0,TG,A,J
2020-07-21,0.0,TG,A,J
2020-07-22,0.0,TG,A,J
2020-07-23,0.0,TG,A,J
2020-07-24,0.0,TG,A,J
2020-07-25,270.0,TG,A,J
2020-07-26,0.0,TG,A,J
2020-07-27,0.0,TG,A,J
2020-07-28,57.0,TG,A,J
2020-07-29,40.0,TG,A,J
2020-07-30,0.0,TG,A,J
2020-07-31,0.0,TG,A,J
2020-08-01,0.0,TG,A,J
2020-08-02,0.0,TG,A,J
2020-08-03,60.0,TG,A,J
2020-08-04,0.0,TG,A,J
2020-08-05,0.0,TG,A,J
2020-08-06,0.0,TG,A,J
2020-08-07,0.0,TG,A,J
2020-08-08,0.0,TG,A,J
2020-08-09,0.0,TG,A,J
2020-08-10,0.0,TG,A,J
2020-08-11,0.0,TG,A,J
2020-08-12,0.0,TG,A,J
2020-08-13,0.0,TG,A,J
2020-08-14,0.0,TG,A,J
2020-08-15,0.0,TG,A,J
2020-08-16,0.0,TG,A,J
2020-08-17,777.0,TG,A,J
2020-08-18,0.0,TG,A,J
2020-08-19,0.0,TG,A,J
2020-08-20,156.0,TG,A,J
2020-08-21,0.0,TG,A,J
2020-08-22,0.0,TG,A,J
2020-08-23,0.0,TG,A,J
2020-08-24,0.0,TG,A,J
2020-08-25,0.0,TG,A,J
2020-08-26,792.0,TG,A,J
2020-08-27,0.0,TG,A,J
2020-08-28,0.0,TG,A,J
2020-08-29,0.0,TG,A,J
2020-08-30,0.0,TG,A,J
2020-08-31,45.0,TG,A,J
2020-09-01,440.4,TG,A,J
2020-09-02,0.0,TG,A,J
2020-09-03,12.0,TG,A,J
2020-09-04,0.0,TG,A,J
2020-09-05,0.0,TG,A,J
2020-09-06,0.0,TG,A,J
2020-09-07,0.0,TG,A,J
2020-09-08,0.0,TG,A,J
2020-09-09,405.0,TG,A,J
2020-09-10,0.0,TG,A,J
2020-09-11,423.0,TG,A,J
2020-09-12,723.0,TG,A,J
2020-09-13,0.0,TG,A,J
2020-09-14,501.0,TG,A,J
2020-09-15,594.0,TG,A,J
2020-09-16,942.0,TG,A,J
2020-09-17,1496.0,TG,A,J
2020-09-18,0.0,TG,A,J
2020-09-19,528.0,TG,A,J
2020-09-20,0.0,TG,A,J
2020-09-21,3893.0,TG,A,J
2020-09-22,364.0,TG,A,J
2020-09-23,0.0,TG,A,J
2020-09-24,360.0,TG,A,J
2020-09-25,0.0,TG,A,J
2020-09-26,324.0,TG,A,J
2020-09-27,0.0,TG,A,J
2020-09-28,2378.0,TG,A,J
2020-09-29,836.0,TG,A,J
2020-09-30,0.0,TG,A,J
2020-10-01,0.0,TG,A,J
2020-10-02,0.0,TG,A,J
2020-10-03,0.0,TG,A,J
2020-10-04,0.0,TG,A,J
2020-10-05,7080.0,TG,A,J
2020-10-06,3800.0,TG,A,J
2020-10-07,6505.0,TG,A,J
2020-10-08,12901.0,TG,A,J
2020-10-09,18690.0,TG,A,J
2020-10-10,22270.0,TG,A,J
2020-10-11,0.0,TG,A,J
2020-10-12,27234.0,TG,A,J
2020-10-13,19820.0,TG,A,J
2020-10-14,15910.0,TG,A,J
2020-10-15,21468.0,TG,A,J
2020-10-16,21085.0,TG,A,J
2020-10-17,34531.0,TG,A,J
2020-10-18,0.0,TG,A,J
2020-10-19,24430.0,TG,A,J
2020-10-20,14875.0,TG,A,J
2020-10-21,24470.0,TG,A,J
2020-10-22,34563.0,TG,A,J
2020-10-23,17115.0,TG,A,J
2020-10-24,21365.0,TG,A,J
2020-10-25,0.0,TG,A,J
2020-10-26,27310.0,TG,A,J
2020-10-27,29605.0,TG,A,J
2020-10-28,28495.0,TG,A,J
2020-10-29,27085.0,TG,A,J
2020-10-30,22655.0,TG,A,J
2020-10-31,28225.0,TG,A,J
2020-11-01,0.0,TG,A,J
2020-11-02,29338.5,TG,A,J
2020-11-03,28524.0,TG,A,J
2020-11-04,21556.0,TG,A,J
2020-11-05,13540.0,TG,A,J
2020-11-06,16070.0,TG,A,J
2020-11-07,23465.0,TG,A,J
2020-11-08,0.0,TG,A,J
2020-11-09,31250.0,TG,A,J
2020-11-10,31132.0,TG,A,J
2020-11-11,22105.0,TG,A,J
2020-11-12,30178.0,TG,A,J
2020-11-13,17865.0,TG,A,J
2020-11-14,18965.0,TG,A,J
2020-11-15,0.0,TG,A,J
2020-11-16,16735.0,TG,A,J
2020-11-17,27800.0,TG,A,J
2020-11-18,17108.0,TG,A,J
2020-11-19,10555.0,TG,A,J
2020-11-20,20650.0,TG,A,J
2020-11-21,56966.0,TG,A,J
2020-11-22,0.0,TG,A,J
2020-11-23,53655.0,TG,A,J
2020-11-24,55126.0,TG,A,J
2020-11-25,45680.0,TG,A,J
2020-11-26,47165.0,TG,A,J
2020-11-27,62160.0,TG,A,J
2020-11-28,44517.0,TG,A,J
2020-11-29,0.0,TG,A,J
2020-11-30,60240.0,TG,A,J
2020-12-01,69115.0,TG,A,J
2020-12-02,63015.0,TG,A,J
2020-12-03,16385.0,TG,A,J
2020-12-04,64192.0,TG,A,J
2020-12-05,61507.0,TG,A,J
2020-12-06,0.0,TG,A,J
2020-12-07,67840.0,TG,A,J
2020-12-08,74065.0,TG,A,J
2020-12-09,0.0,TG,A,J
2020-12-10,0.0,TG,A,J
2020-12-11,0.0,TG,A,J
2020-12-12,0.0,TG,A,J
2020-12-13,0.0,TG,A,J
2020-12-14,0.0,TG,A,J
2020-12-15,0.0,TG,A,J
2020-12-16,0.0,TG,A,J
2020-12-17,0.0,TG,A,J
2020-12-18,0.0,TG,A,J
2020-12-19,0.0,TG,A,J
2020-12-20,0.0,TG,A,J
2020-12-21,0.0,TG,A,J
2020-12-22,0.0,TG,A,J
2020-12-23,0.0,TG,A,J
2020-12-24,0.0,TG,A,J
2020-12-25,0.0,TG,A,J
2020-12-26,0.0,TG,A,J
2020-12-27,0.0,TG,A,J
2020-12-28,0.0,TG,A,J
2020-12-29,0.0,TG,A,J
2020-12-30,0.0,TG,A,J
2020-12-31,0.0,TG,A,J
2021-01-01,0.0,TG,A,J
2021-01-02,0.0,TG,A,J
2021-01-03,0.0,TG,A,J
2021-01-04,145468.0,TG,A,J
2021-01-05,142910.0,TG,A,J
2021-01-06,112490.0,TG,A,J
2021-01-07,105330.0,TG,A,J
2021-01-08,40030.0,TG,A,J
2021-01-09,73620.0,TG,A,J
2021-01-10,0.0,TG,A,J
2021-01-11,29430.0,TG,A,J
2021-01-12,86100.0,TG,A,J
2021-01-13,87562.0,TG,A,J
2021-01-14,99110.0,TG,A,J
2021-01-15,115090.0,TG,A,J
2021-01-16,90820.0,TG,A,J
2021-01-17,0.0,TG,A,J
2021-01-18,115152.0,TG,A,J
2021-01-19,100740.0,TG,A,J
2021-01-20,54500.0,TG,A,J
2021-01-21,92444.0,TG,A,J
2021-01-22,62000.0,TG,A,J
2021-01-23,89250.0,TG,A,J
2021-01-24,0.0,TG,A,J
2021-01-25,45310.0,TG,A,J
2021-01-26,23280.0,TG,A,J
