AlogP,LogD,Molecular_PolarSurfaceArea,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,SMILES
2.618,1.94,157.72,342.263,10,4,1,O=C1N=C(O)N=C(O)C1C1c2ccccc2Oc2nc(O)nc(O)c21
3.99,3.991,100.31,444.567,4,1,7,Cc1ccc(S(=O)(=O)NCc2ccccc2)c(C)c1N(C)S(=O)(=O)c1ccccc1
3.662,2.451,54.55,317.446,3,1,6,CCC(C)NCc1ccccc1-c1ccc(S(C)(=O)=O)cc1
0.686,-0.537,63.42,288.345,5,1,6,c1ccc(-c2nnc(CNCCN3CCOCC3)o2)cc1
4.5,4.5,66.88,400.253,6,0,10,CCOCCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2Cl)cc1
6.266,6.266,31.23,379.45,2,0,4,CCOC(=O)c1c2ccccc2n2/c(=C\c3ccccc3C)c3ccccc3c12
3.623,3.623,55.63,273.377,3,1,3,CCn1nc(C)c2ncnc(NC3CCCCCC3)c21
2.418,0.967,57.61,273.327,3,1,5,Cc1ccc(CN2CCC=C(CCC(=O)O)C2=O)cc1
-0.044,0.389,84.74,266.253,5,0,4,CCOC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C
4.857,3.627,34.26,338.49,2,1,5,CC(C)(C)c1cn2c3ccccc3nc2n1CCNC1CCCCC1
2.021,2.01,110.38,290.268,6,5,1,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2
0.861,0.861,95.33,268.335,5,0,5,CCS(=O)(=O)CC(C)N(C)c1cnc(C#N)cn1
2.294,2.373,129.71,396.527,4,2,6,CC1CCC(NS(=O)(=O)CC(=O)Nc2cc(-c3ccsc3)nn2C)CC1
2.247,2.246,107.61,334.398,4,2,5,c1ccc(-c2ncc(CNc3cccc(-c4nnc[nH]4)c3)s2)nc1
6.088,4.733,25.47,420.549,2,0,5,c1ccc(-c2ccc(-c3cn4c5ccccc5nc4n3CCN3CCCCC3)cc2)cc1
1.387,1.387,67.87,342.389,4,1,5,COc1ccccc1CNC(=O)c1c(OC)cc(=O)n2c1CCCC2
1.044,1.044,65.38,335.441,4,1,6,CC(C)(CNC(=O)[C@@H]1OCC[C@@H]1Cn1cccn1)C1CCOCC1
4.276,4.27,15.71,332.388,2,0,5,CCOc1ccccc1N1CCN(Cc2cc(F)ccc2F)CC1
3.635,3.635,88.94,520.443,6,0,4,Cc1ccc(S(=O)(=O)n2cc(Br)c3c(N4CCC(N5CCOCC5)CC4)ncnc32)cc1
-0.533,-0.533,111.44,302.289,6,1,2,N#Cc1nccnc1OC1CCN(C(=O)N2CCNC2=O)C1
4.043,4.119,56.73,322.447,2,1,5,CCCc1nc2c(c(C)c(C)n2Cc2ccncc2)c(N)c1CC
3.231,3.15,66.76,272.296,4,2,4,COc1ccc([C@@H](C)C(=O)c2ccc(O)cc2O)cc1
2.309,2.281,98.75,304.735,4,4,5,OCCNc1nc(Nc2ccc(Cl)cc2)c2nc[nH]c2n1
3.164,3.186,87.22,421.873,4,1,5,CCS(=O)(=O)Nc1cccc(-c2cc(=O)n(-c3ccc(F)c(Cl)c3)nc2C)c1
-0.634,-0.634,78.67,308.376,4,1,2,CC(=O)N1CCN(C(=O)Cn2nc(C)c(C)c2C)CC(O)C1
3.49,3.49,58.64,431.323,3,1,5,CC(=O)CC1c2ccc(Br)cc2NC(C)(C)C(=O)N1OCc1ccccc1
2.503,2.503,92.45,322.312,6,0,2,O=C1C[C@H](n2nc(-c3ccc(F)cc3)oc2=S)[C@H]2CO[C@@H]1O2
1.585,1.531,100.1,344.435,5,1,4,Cn1cc(C2(C)CN(Cc3nc(-c4cccs4)n[nH]3)CCO2)cn1
4.991,4.99,73.99,409.48,2,3,7,Cc1ccccc1CNc1ccccc1NC(=O)c1ccc(C(=O)c2cc[nH]c2)cc1
2.568,2.487,85.49,436.936,5,0,4,Cc1nn(CC(=O)N2c3c(c(C)nn3C)N(C(=O)OC(C)(C)C)CC2C)c(C)c1Cl
4.892,4.892,36.01,313.392,1,2,4,OC(Cc1c[nH]c2ccccc12)(c1ccccc1)c1ccccc1
3.65,3.645,89.87,369.805,4,1,5,Cc1noc(C)c1CCNc1ncnc2onc(-c3cccc(Cl)c3)c12
0.954,0.945,78.67,278.307,4,1,3,CC(C)=CCn1c(CO)nc2c1c(=O)n(C)c(=O)n2C
5.478,4.121,25.47,394.511,2,0,4,c1ccc2c(-c3cn4c5ccccc5n(CCN5CCCCC5)c4n3)cccc2c1
5.339,5.339,67.79,458.345,4,2,9,CCOC(=O)Nc1ccc(Br)c2ccc(OCc3ccccc3)c(CCCO)c12
4.208,4.208,111.33,421.507,6,1,9,COc1cc(OC)c(C(=O)Nc2sc(C(C)C)cc2C(=O)OC(C)C)cc1OC
0.743,0.669,99.74,401.463,5,1,3,Cc1cc(N2CCCC(N3CCN(C(=O)Nc4cc(C)on4)CC3)C2=O)n(C)n1
4.913,4.913,68.27,350.343,2,1,3,Cc1ccc(-c2cc(NC(=O)c3oc4ccc(F)cc4c3C)on2)cc1
5.424,5.424,44.7,369.459,2,1,7,O=c1c2ccccc2nc(NCCCCc2ccccc2)n1-c1ccccc1
0.306,0.306,51.58,195.215,4,1,0,Cc1ncc2c(c1O)COC(C)OC2
4.982,4.982,91.8,505.604,3,1,7,CC(C)Oc1ccc(CN2C(=O)c3cc4ccsc4n3CC2(C)C(=O)NCc2ccc(F)cc2)cc1
3.913,3.913,64.86,338.192,4,1,4,CCn1cnc2c(Nc3ccc(OC)c(Cl)c3)nc(Cl)nc21
6.659,6.661,70.87,613.507,7,0,11,CC(C)Oc1cccc(/C=C(/F)Oc2ccc(OC[C@@H]3C[C@@](Cn4cncn4)(c4ccc(Cl)cc4Cl)N(C)O3)cc2)c1
2.407,2.407,83.03,344.408,4,2,7,COc1cccc(N(Cc2n[nH]c(=O)[nH]2)C(=O)CCC2CCCC2)c1
3.397,3.397,88.31,421.454,5,1,3,O=C(c1ccc(Nc2nc3ccccc3n3nnnc23)cc1)N1CCc2ccccc2C1
2.263,2.259,90.15,274.269,5,4,1,Oc1ccc([C@H]2Oc3cc(O)cc(O)c3C[C@H]2O)cc1
4.001,4.0,64.99,370.439,5,1,6,[H][C@@]1(C(C)(C)O)C(=O)Oc2cc(OC)ccc2[C@H]1c1cccc(OCCC)c1
4.197,4.122,27.82,282.767,1,2,1,Clc1ccccc1C1NCCc2c1[nH]c1ccccc21
4.537,4.537,55.4,341.444,3,1,3,Cc1cc(C)c(C2=C(NC(=O)C(C)C)C3(CCCC3)OC2=O)c(C)c1
4.361,4.361,43.26,308.374,2,1,3,COc1ccc2c(c1)cc(C(=O)Nc1c(C)cccc1C)n2C
4.775,3.42,25.47,362.443,2,0,4,Fc1ccccc1-c1cn2c3ccccc3nc2n1CCN1CCCCC1
2.125,2.265,116.85,483.475,6,2,5,COc1ccc2c(c1OC)C(=O)N1c3ccccc3C(=O)N(CC(=O)Nc3ccc4nc[nH]c4c3)C21
3.192,3.192,71.54,319.422,4,0,3,Cc1c(C)c(C)c(S(=O)(=O)N(C)c2cnccn2)c(C)c1C
2.594,2.259,51.11,336.38,3,2,6,Cc1cc2n(n1)CC(CNC(C)COc1ccc(F)cc1F)CN2
4.959,4.959,56.92,362.253,1,3,4,Cc1ccc2[nH]cc(CCNC(=O)Nc3ccc(Cl)c(Cl)c3)c2c1
3.699,3.698,90.64,451.905,6,1,8,COc1ccc(CNC(=O)CCc2nnc3ccc(-c4ccc(Cl)cc4)nn23)c(OC)c1
2.74,2.74,76.66,285.267,4,0,5,COC(=O)c1csc(COc2ccc(F)c(F)c2)n1
3.231,1.826,98.74,458.305,4,3,5,O=C(Nc1ccc(/C=C/C(=O)N2CCC[C@H]2C(=O)O)cc1)Nc1ccccc1Br
4.418,4.418,62.55,416.512,2,1,8,O=C(Cc1ccc(N(Cc2ccccc2)C(=O)C2CCCC2)cc1)NCc1ccco1
1.33,1.354,113.18,459.558,5,2,11,O=C(CN(CCc1ccccc1)C(=O)CNS(=O)(=O)c1ccccc1)NCC1CCCO1
4.343,4.35,83.65,317.51,3,0,7,CCC(CC)(CC)S(=O)(=O)Cc1csc(C(C)(C)C)n1
1.379,1.383,81.35,390.435,5,0,3,O=C(c1ccccc1)N1CC(c2nc(-c3cccnc3)no2)C2(CCOCC2)C1
4.221,4.22,89.6,381.22,2,3,2,O=C(Nc1cc2ccc(O)cc2s1)Nc1ccc(Br)cc1F
2.407,2.183,68.18,372.849,4,2,5,Cc1nn(-c2ccc(Cl)cc2)c2[nH]c(=O)c(CNCC3CCCO3)cc12
3.813,3.813,57.97,268.334,3,0,2,CSc1nc2ccccc2c(=O)n1-c1ccccc1
4.689,4.689,83.32,405.45,6,1,6,COc1cc(Nc2ncnc3c2cnn3-c2ccc(C)cc2C)cc(OC)c1OC
1.46,1.46,157.85,368.435,7,1,5,CC(C)Oc1nnc(SCc2nc3c(=O)n(C)c(=O)n(C)c3[nH]2)s1
3.219,3.276,45.54,279.156,1,0,1,Brc1ccc2nc(-c3cccs3)cn2c1
4.824,3.478,97.19,496.021,4,2,7,O=C(Nc1c(C(c2ccc(Cl)cc2)N2CCN(CCO)CC2)oc2ccccc12)c1cccs1
3.078,3.073,66.62,319.357,3,2,2,Cn1c2c(c3cc(O)ccc31)C=NC(Cc1ccccc1)C(=O)N2
2.011,2.011,55.84,289.326,4,0,6,O=C1CCC(=O)N1OCCCOc1ccc2c(c1)CCC2
3.038,3.038,103.4,342.353,5,1,5,CC(C)(C)c1cc(NC(=O)Cn2nnn(-c3ccccc3)c2=O)on1
6.501,6.501,68.74,496.666,1,1,4,CN(C)c1ccc(C2c3cccn3-c3sc4c(c3CN2C(=O)NCc2ccccc2)CCCC4)cc1
4.795,5.58,47.28,344.835,3,1,5,Cc1ccc(Cl)c(OCC(O)Cn2cnc3cc(C)c(C)cc32)c1
2.338,2.338,46.39,264.078,2,1,0,O=c1[nH]ncn2c1cc1cc(Br)ccc12
4.221,4.221,83.27,334.499,4,0,3,O=c1cc(CSC2CCCCC2)nc2sc3c(n12)CCCC3
2.269,2.266,67.23,379.241,3,1,1,CC(C)n1ncc2c1NC(=O)CC21C(=O)N(C)c2cc(Cl)cc(Cl)c21
4.438,4.438,93.19,402.265,3,0,4,CCc1nc(-c2cccc(-c3noc(-c4ccc(Br)o4)n3)c2)cs1
5.963,5.983,46.5,390.909,2,1,4,Cn1ccnc1-c1[nH]c(-c2ccc(Cl)cc2)nc1-c1ccc(C(C)(C)C)cc1
1.043,1.14,89.56,265.288,5,1,4,COc1ccc(S(=O)(=O)Nc2ncccn2)cc1
1.151,-0.284,86.71,268.653,4,2,3,O=C(O)CC1NC(=O)N(c2ccc(Cl)cc2)C1=O
2.194,2.194,101.16,410.528,5,1,10,CCCNS(=O)(=O)c1ccc(CCC(=O)N2CCC(C(=O)OCC)CC2)cc1
4.09,4.089,83.56,319.422,4,0,4,Cc1c(C(=O)OC(C)C)sc2ncnc(N3CCCCC3)c12
4.202,4.202,101.22,491.54,5,1,5,Cc1ccc2c(=O)c(-c3nc(-c4ccccc4C)no3)cn(CC(=O)NC3CCc4ccccc43)c2n1
3.378,3.531,116.29,498.533,6,1,6,Cn1c(CN2CCN(C(=O)c3ccccc3)CC2)nc2cc(NC(=O)c3ccccc3[N+](=O)[O-])ccc21
4.463,3.413,69.23,438.582,4,1,7,Cc1ccc(N(CC(O)CN2CCCCC2)S(=O)(=O)c2ccc3ccccc3c2)cc1
-0.436,-0.436,78.87,280.32,4,2,3,CCN(C(=O)c1cc(C)c(C)[nH]c1=O)[C@H]1COC[C@@H]1O
1.667,1.667,114.08,303.34,4,1,4,Cc1cc(C(=O)Nc2nnc(Cc3cccs3)o2)n(C)n1
2.686,2.686,78.71,408.45,6,0,4,COc1cccc(Cn2nnc3cc(C(=O)N4CCC5(CC4)OCCO5)ccc32)c1
4.172,4.131,67.27,364.169,4,2,3,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1O
1.183,1.181,66.07,284.374,3,0,4,Cc1ccc(N(C(C)C(=O)N(C)C)S(C)(=O)=O)cc1
0.089,0.089,86.33,402.441,6,1,8,COCCOc1cc(=O)n2c(c1C(=O)NCc1ccc(OC)cc1)CCOCC2
0.515,0.515,112.16,392.469,5,2,8,CC(C)S(=O)(=O)c1ccc(CC(=O)NCC(O)Cn2ccccc2=O)cc1
2.267,2.362,90.98,343.4,4,0,1,Cn1c(=O)n(-c2ccccn2)c(=O)c2c3c(sc21)COC(C)(C)C3
3.223,3.223,96.24,331.34,2,2,3,Nc1ccc(C(=O)Nc2nc(-c3ccc(F)cc3F)cs2)cc1
2.844,1.332,60.58,266.402,2,1,4,CN(C)C1(CNC(=O)c2cccs2)CCCCC1
4.81,4.81,84.09,472.555,4,1,7,COc1ccc(S(=O)(=O)N(C)c2ccc(C(=O)Nc3ccccc3-c3ccccc3)cc2)cc1
3.567,3.567,60.18,319.718,3,1,5,Fc1ccc(Oc2ccccc2CNc2nnco2)c(Cl)c1
2.34,2.339,73.83,315.761,4,1,2,Clc1nc(N2CCN(c3ccccn3)CC2)c2nc[nH]c2n1
2.991,1.687,96.4,322.469,3,2,6,Cc1sc(NC(=O)NCC(CC(C)C)N(C)C)c(C#N)c1C
1.724,0.736,24.5,260.375,3,1,7,C(=C/c1ccccc1)\CNCCCN1CCOCC1
4.676,3.133,29.43,359.464,2,1,4,c1ccc(OCCN2CCCC3(C2)Nc2ccccc2-n2cccc23)cc1
2.553,2.588,166.45,491.58,7,2,9,COc1cc(-c2nc(C)c(C(=O)NCCc3ccc(S(N)(=O)=O)cc3)s2)cc(OC)c1OC
3.877,3.877,38.77,415.609,3,0,7,CCC(=O)N(CCC1(c2ccccc2)CCOC(C)(C)C1)CC1CCOC(C)(C)C1
4.556,4.556,66.7,474.982,3,1,5,Cc1c2cnn(CC(=O)NC3CCCc4ccccc43)c(=O)c2c(C)n1Cc1cccc(Cl)c1
2.832,2.922,85.41,298.386,3,2,4,Cc1nc2[nH]nc(N)c2c(C)c1-c1cnn(CCC(C)C)c1
2.91,2.91,58.64,352.427,3,1,3,COc1cc(=O)n2c(c1C(=O)Nc1cccc3c1CCCC3)CCCC2
1.747,1.749,68.29,260.288,4,1,5,CCCC(=O)c1c[nH]c2c(OCC)nccc2c1=O
1.458,1.458,86.88,408.089,3,3,4,CC(C)C[C@@H]1NC(=O)[C@H](Cc2nc(Br)[nH]c2Br)NC1=O
1.188,1.188,85.47,296.327,5,0,1,Cc1nnc(N2CCc3nn(C)c(=O)cc3C2)c(C#N)c1C
1.49,1.664,85.95,347.389,4,0,6,CN(C)S(=O)(=O)c1ccc(COc2ccc(-n3ccnc3)cc2)o1
1.769,1.766,46.53,192.211,3,1,3,COc1cc(/C=C/C(C)=O)ccc1O
2.208,2.207,57.84,321.373,3,1,3,O=C(c1ccc2cccnn12)N1C[C@@H](Cc2ccccc2)[C@H](O)C1
2.027,2.027,58.64,318.411,3,1,4,CCOc1cc(=O)n2c(c1C(=O)NC1CCCC1)CCCCC2
2.377,2.377,77.1,406.86,5,1,6,CCOc1cc(=O)n2c(c1C(=O)Nc1cc(OC)c(Cl)cc1OC)CCCC2
1.149,-0.101,73.91,388.504,4,2,5,CNC(=O)[C@@H]1C[C@H](Oc2ccccc2)CN1C1CCN(C(=O)NC(C)C)CC1
2.976,2.976,95.33,447.462,4,1,3,O=C(C1CC(=O)N(c2n[nH]c3ccccc23)C1)N1CCC(c2noc3cc(F)ccc23)CC1
0.81,0.865,84.09,332.459,4,1,4,CC1CCC(NS(=O)(=O)CC(=O)N2CCOCC2(C)C)CC1
3.99,3.86,70.0,391.46,4,2,8,CCN(CC(O)COc1ccccc1)C(=O)c1cccc(-c2ccc(O)cc2)c1
4.096,4.096,84.53,464.533,5,0,6,COc1ccc(C(=O)C2=CN(c3ccc(N(C)C)cc3)c3ccccc3S2(=O)=O)cc1OC
3.739,3.73,81.85,278.251,4,2,4,N=c1sc2cc(OC(F)(F)F)ccc2n1CCO
4.163,4.005,52.65,383.527,3,1,6,CC(C)C(NCc1cc(=O)n(C)c(=O)n1C)c1ccc(C2CCCCC2)cc1
3.706,3.673,99.94,430.502,4,2,6,CC1CCN(c2ccc(-c3noc(C(=O)NCCc4nc5ccccc5[nH]4)n3)cc2)CC1
2.885,2.885,58.64,384.444,3,1,6,O=C(NCc1cccc(F)c1)c1c(OCC2CC2)cc(=O)n2c1CCCCC2
3.544,3.544,80.32,363.359,4,2,6,CC(C)(C)OC(=O)Nc1cccc(C(=O)NCc2c(F)cccc2F)n1
0.848,0.848,77.54,360.361,7,0,2,O=C1CC(N2CCC3(CC2)OCCO3)C(=O)N1c1ccc2c(c1)OCO2
3.512,3.5,77.53,445.31,6,2,6,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCC1CNCCO1
2.224,2.121,66.28,316.33,4,1,4,CC1=C(C(=O)OC(C)C)C(c2ccc(F)cc2)N2N=CNC2=N1
2.299,2.34,58.91,299.329,3,0,2,Cn1cncc1-c1cccc(-c2cn3cccc(C#N)c3n2)c1
4.547,4.547,36.1,332.439,1,1,6,CCN(CC)C(=O)Cc1c(/C=C/c2ccccc2)[nH]c2ccccc12
1.236,1.236,112.74,322.379,4,2,6,CCC(C)Nc1c(C(C)=O)c(=O)[nH]c2c(C(=O)OC)scc12
2.097,2.097,85.69,398.336,5,1,5,Cn1nc(C(=O)N2CCOCC2)cc1C(=O)Nc1ccc(F)cc1OC(F)F
0.177,0.177,110.18,428.462,6,0,5,COc1cc(=O)n(-c2ccccc2)cc1C(=O)N1CC(S(=O)(=O)c2nccn2C)C1
2.621,2.621,52.6,254.322,4,0,11,CC(=O)OC/C=C/CCCC/C=C/COC(C)=O
2.849,2.849,64.55,365.426,5,0,1,CC1c2cc3c(cc2C2(CCCC2)CN1C(=O)c1ccncn1)OCCO3
1.52,1.52,77.1,370.399,5,1,5,CCOc1cc(=O)n2c(c1C(=O)NCc1ccc3c(c1)OCO3)CCCC2
1.949,1.246,66.84,279.332,4,1,5,CCCn1c2c(c(O)c(C(=O)OCC)c1=O)CCCC2
0.379,0.379,112.9,345.396,5,3,5,CC(=O)c1[nH]c(C)c(C(=O)N[C@H]2C[C@@H](c3nnc(CO)n3C)C2)c1C
2.479,2.429,70.14,281.374,3,1,5,CCCNC1=Nc2ccccc2S(=O)(=O)N1CCC
2.474,3.378,60.34,264.343,3,0,3,CC(C)(C)c1ccc(S(=O)(=O)n2ccnc2)cc1
1.87,1.869,94.11,309.323,4,1,2,Nc1nc(N2C(=O)C3CC=CCC3C2=O)nn1-c1ccccc1
1.034,1.034,84.67,308.195,3,1,4,CCN(CC)S(=O)(=O)c1cc(Br)cnc1N
2.706,2.709,79.9,330.34,4,2,4,O=C(Nc1ccc(Oc2cccnc2)nc1)c1c[nH]c2ccccc12
1.997,1.997,132.1,339.824,5,2,1,Cc1n[nH]c2c1C(c1c(Cl)nc3sccn13)SCC(O)=N2
4.963,4.963,47.02,332.396,2,1,5,CCOC(=O)Cc1c(-c2cc3ccccc3n2C)[nH]c2ccccc12
3.193,3.193,58.12,330.444,3,0,6,CCN(CC)/C(=N\S(=O)(=O)c1ccccc1C)c1ccccc1
1.651,1.494,98.67,379.5,6,3,7,CC(C)Nc1nc(NCCO)nc(N2CCC(N3CCOC(C)C3)CC2)n1
0.548,0.548,105.57,351.424,5,1,6,CS(=O)(=O)N1CCC[C@H]1C(=O)NCCCn1nnc2ccccc21
1.032,2.01,82.69,291.736,3,3,2,O=C(Nc1cccnc1Cl)NC1CCc2[nH]cnc2C1
2.044,2.044,83.81,292.292,3,2,2,Cc1nc2cc(NC(=O)c3cccc4cn[nH]c34)ccc2o1
4.647,4.556,50.44,443.537,4,0,4,COc1cccc2c1OC1(CCN(Cc3ccccc3)CC1)N1N=C(c3ccc(C)o3)CC21
4.463,4.463,99.85,362.506,3,0,7,CCO[C@@H]1CCC[C@H](CC(=O)c2cccs2)[C@H]1C(=O)c1cccs1
1.971,0.41,33.73,276.374,4,1,5,COc1cc(C)ccc1OCCN1CC[C@H]2CNC[C@H]21
3.533,3.533,110.98,487.544,6,0,6,CC(C)c1cc(C(=O)N2CCC(Oc3ccc(-c4ccc(S(C)(=O)=O)cc4F)nc3)CC2)no1
0.082,0.082,86.33,388.414,6,1,7,COCCOc1cc(=O)n2c(c1C(=O)Nc1cccc(OC)c1)CCOCC2
3.084,3.084,39.52,281.457,1,0,2,CC1CCN(S(=O)C23CC4CC(CC(C4)C2)C3)CC1
4.193,3.929,74.77,458.552,4,1,8,CCN(CCCNC(=O)CN1C(=O)c2cccnc2Oc2ccc(C)cc21)c1cccc(C)c1
6.319,6.319,54.99,467.579,3,0,5,Cc1ccc(C2(c3ccccc3)C=C(c3ccccc3)N(S(=O)(=O)c3ccc(C)cc3)O2)cc1
2.768,2.768,86.35,335.357,3,2,5,Cn1cc(C(N)=O)cc1C(=O)Nc1ccccc1Oc1ccccc1
2.278,2.278,79.96,401.847,3,1,2,Cn1c(N2CCN(C(=O)c3cc4cc(Cl)ccc4[nH]3)CC2)cc(=O)n(C)c1=O
3.163,3.321,55.63,279.34,3,1,4,Cc1ccc(C)c(CNc2cc(-n3ccnc3)ncn2)c1
2.359,2.406,109.08,311.377,4,1,5,COC(=O)c1ccc(-c2ccccc2NS(C)(=O)=O)s1
0.603,0.603,74.57,411.537,4,2,9,Cc1cn(C)c(CC(=O)NCCCN2CCC(Cc3ccccc3)CC2)c1C(=O)O
3.638,3.64,71.84,298.406,3,0,5,CCc1csc(Cn2cc(C(C)c3ccccc3)nn2)n1
0.882,0.882,67.23,300.356,3,1,3,Cn1nc(CNC(=O)c2cccn(C)c2=O)c2c1CCCC2
1.931,1.931,65.72,267.286,5,0,3,Cc1cc(Oc2ccc(-n3cncn3)cc2)nc(C)n1
4.885,4.885,99.41,509.599,4,1,5,CC(C)(C)OC(=O)N1CCC(n2cc(-c3cnc(N)c(-c4nc5ccccc5o4)c3)c3ccccc32)CC1
1.307,-0.166,120.95,338.74,5,3,4,CNC(=O)Nc1cc(S(=O)(=O)C(C)C(=O)O)c(Cl)cc1F
2.896,2.896,58.64,360.835,3,1,4,CCOc1cc(=O)n2c(c1C(=O)Nc1ccc(C)cc1Cl)CCCC2
5.822,5.822,47.45,371.452,2,0,4,CS(=O)(=O)n1c(-c2ccccc2)c(C#Cc2ccccc2)c2ccccc21
3.969,2.523,70.16,293.317,3,2,4,Cc1ccc(C(=O)c2[nH]c3ccccc3c2CC(=O)O)cc1
2.526,2.492,86.99,274.269,5,3,4,COc1ccccc1CC(=O)c1ccc(O)c(O)c1O
