,MLM
1136,66.09
717,76.28
1025,99.9
384,64.99
588,0.54
1474,76.69
2258,40.5
2029,5.9
3165,45.65
1766,0.34
1496,70.475
2572,74.987
855,92.19
3150,73.19
2267,59.486
2789,5.818
3406,96.792
3129,64.95
3128,73.745
1056,77.433
819,86.802
2923,99.99
2651,0.0
2114,4.6
455,99.99
52,2.41
2707,7.79
20,99.0
3042,1.04
2198,9.58
194,88.408
3461,0.006
1647,88.3
1086,55.996
3161,0.0
1217,81.26
264,30.618
3201,2.24
2048,0.3
1917,78.19
2320,1.62
2057,23.43
2695,1.0
318,3.503
579,27.52
1765,0.49
2835,1.46
2174,64.65
48,73.91
2033,1.0
803,3.242
3075,1.315
223,2.405
585,58.9
3342,96.55
1835,6.278
1235,43.55
3004,90.205
829,73.47
2962,56.53
2409,86.566
2041,2.304
1493,21.031
964,31.55
2005,4.842
1315,58.237
1147,89.246
286,46.951
1222,93.1
2327,88.44
2350,1.932
2708,61.43
1230,0.492
97,0.22
1099,23.33
3105,18.129
3021,15.93
3035,9.164
795,97.31
1476,2.56
1604,0.668
285,48.891
557,53.89
3077,40.54
1999,0.2
1751,79.23
3449,16.147
315,2.268
1739,24.521
926,0.856
133,23.12
2515,34.96
1606,6.572
2239,2.598
602,80.52
1771,0.053
1103,19.53
1399,91.192
1784,2.43
3256,2.92
949,0.73
1477,60.753
996,6.292
2927,45.792
1458,51.945
11,32.668
1790,99.99
3289,71.808
3386,74.87
2013,8.283
442,1.083
1643,86.248
3158,5.6
157,7.8
1895,34.26
2840,0.15
505,14.466
1245,48.26
1687,99.0
2726,33.545
18,65.85
1593,1.109
200,46.26
2124,0.025
3312,0.565
1452,0.24
2208,1.098
646,1.37
1519,29.27
772,46.21
47,0.08
3440,90.93
3304,19.744
2144,0.036
1642,67.595
1199,47.438
3365,10.24
1485,48.84
1430,0.45
2765,2.442
2072,9.438
1001,8.897
2104,1.78
897,73.679
1062,20.672
657,15.735
1902,3.12
2970,0.39
3060,18.85
1252,0.0
2874,62.744
1010,1.325
3140,25.037
413,98.53
2326,0.077
254,99.9
2285,99.186
2696,0.09
1260,88.15
684,58.083
300,54.94
128,0.012
1054,4.45
1837,66.4
1855,0.11
1257,68.52
1105,82.478
846,0.63
3422,99.99
1334,10.15
386,0.0
651,0.03
3199,0.34
2432,22.48
3023,49.229
2626,59.471
805,30.455
2087,86.896
366,73.74
2473,5.103
2675,79.41
2346,94.77
1301,66.12
3409,1.0
3316,28.31
2426,58.087
1411,75.99
3270,55.979
1692,3.391
1712,99.99
1263,93.34
1648,81.8
458,73.94
2563,2.3
1211,29.646
1012,3.947
1957,0.08
1240,17.97
3202,1.286
3101,0.45
1030,28.22
3046,1.41
1728,39.673
87,56.54
3066,0.625
1191,52.963
1512,91.72
1813,59.51
354,35.64
1018,15.25
2082,6.959
3288,50.945
2034,99.99
876,54.424
444,8.06
161,23.454
2252,98.13
249,7.766
3024,3.92
980,53.546
884,15.18
1989,47.45
1694,1.872
2212,37.8
173,95.519
1881,57.43
2054,72.93
1752,10.765
822,84.61
2635,2.292
665,6.5
1599,4.498
1914,12.69
3010,97.76
2284,10.01
3369,3.44
158,0.0
139,1.233
1900,9.066
574,56.628
2706,60.725
1610,35.18
1965,84.531
773,2.076
2487,1.768
2678,13.865
342,95.66
792,1.333
1000,31.223
2319,64.65
441,99.9
789,64.298
1302,93.15
2761,5.345
1888,94.2
3084,7.95
535,17.463
2427,99.99
916,17.91
1382,58.224
2619,0.152
43,26.23
1885,0.04
3278,29.21
1507,0.11
80,1.65
2342,0.17
270,1.19
2668,16.62
2131,15.98
1923,37.41
475,93.901
532,25.7
3179,56.375
1323,22.432
3470,10.47
3003,99.99
3378,49.824
267,0.25
1509,99.9
233,4.558
2704,10.95
2554,84.073
2229,99.99
1943,0.31
287,0.028
1091,99.99
733,70.461
2859,15.427
512,0.425
810,0.05
2941,10.943
2300,2.32
815,82.54
828,72.44
1261,0.06
1577,0.065
2904,4.76
279,7.28
3351,65.128
1277,15.97
250,50.92
2204,16.26
3188,7.151
2188,1.88
2271,0.07
2088,99.99
1045,99.9
2234,69.725
31,94.33
3494,35.56
864,19.41
3297,71.56
2211,82.479
1737,73.19
2262,99.99
1748,86.14
842,0.06
2667,6.76
1774,2.304
2110,13.32
2656,37.399
2402,64.06
2972,38.443
3326,4.692
2459,11.53
1393,0.44
309,98.84
3357,3.95
3203,4.05
490,11.31
818,47.719
1775,14.524
3277,0.62
2520,5.653
1539,7.2
2570,1.8
3157,52.847
2638,86.074
1538,8.71
1259,37.057
1165,0.046
892,5.472
970,27.572
2012,93.18
2658,60.182
2731,22.1
1188,1.72
2293,46.76
3443,2.052
521,74.15
3275,75.85
393,99.99
77,3.985
1564,46.26
1417,0.058
2137,67.59
262,3.687
198,34.42
1770,99.99
240,21.25
721,5.882
2225,1.0
3353,0.22
2378,22.81
1058,10.617
2190,47.768
799,0.02
2624,21.945
3444,1.17
381,55.165
2829,4.47
2067,61.641
1798,1.285
1036,72.643
1210,1.161
3119,78.08
3099,0.41
1494,54.23
2363,14.199
1515,23.165
106,2.904
1703,97.8
85,0.07
1226,0.1
1039,19.44
474,59.24
1195,21.79
1142,45.52
2975,3.87
2756,99.0
431,87.44
1526,44.86
513,73.267
1725,0.74
1991,5.18
1351,89.29
1678,84.51
2112,9.035
633,1.0
2933,1.81
629,6.152
1656,0.422
2530,86.0
1339,89.03
2244,8.67
2569,68.39
301,65.27
345,99.99
2602,14.73
2652,8.934
2240,87.485
3340,96.781
310,3.41
735,34.18
187,99.99
1322,97.59
3070,37.928
1686,1.56
677,0.719
203,81.51
3459,0.25
415,56.629
516,92.41
917,0.589
2627,74.184
344,43.028
1761,88.69
1588,65.277
294,74.464
1753,2.013
1096,15.23
904,69.7
642,60.348
2886,30.639
3050,0.22
3044,2.48
1892,55.475
2809,4.42
2873,3.524
2574,83.92
1168,73.018
593,39.98
1945,0.11
2770,1.0
260,28.756
3065,1.695
832,12.12
1343,3.152
272,2.04
3031,47.23
1115,3.66
500,9.348
2345,99.4
2328,53.676
2774,43.3
2052,27.46
2504,42.13
2724,1.57
3371,34.112
1319,99.0
2800,1.25
2275,14.845
3447,0.02
1570,92.587
3338,1.0
1836,8.92
3345,26.624
1894,0.31
2805,8.144
2265,93.762
360,1.21
3097,55.12
620,1.456
2480,1.978
986,1.427
34,54.9
690,23.304
3123,63.43
2062,97.697
376,87.14
101,11.684
3336,0.043
1486,0.88
2892,91.27
939,0.122
1601,37.903
946,0.15
1258,99.99
1683,99.99
2522,0.157
2988,12.606
1455,0.15
506,26.826
1543,37.0
1453,70.497
1878,42.723
1205,1.12
2543,10.917
61,86.6
1175,2.454
3484,2.67
2297,80.2
3106,40.763
2797,8.35
456,0.619
1550,6.84
1116,10.84
2500,86.9
519,0.19
394,66.31
2433,0.354
147,24.03
2733,21.042
3390,50.333
50,0.2
72,2.76
3290,64.71
1786,0.88
36,81.95
2979,29.976
2312,0.191
1145,11.06
3466,2.138
2330,20.14
142,31.84
1471,93.013
312,4.333
3483,27.415
2662,99.99
3455,1.0
3408,44.873
2920,0.0
1192,99.99
2170,58.273
1317,78.363
2531,4.544
2565,2.23
3007,9.216
1170,63.16
2527,42.6
2931,26.648
152,58.61
1451,47.83
3343,1.74
1611,3.042
2799,76.715
3166,78.6
1073,39.686
1639,8.057
42,90.61
3036,2.55
5,27.64
55,59.112
2070,21.226
1677,14.51
987,29.293
1067,65.775
2512,1.65
511,7.451
3320,99.99
1738,1.0
2921,23.038
1335,16.929
1710,1.0
241,0.005
2617,90.675
2722,4.83
1665,7.259
255,3.61
3294,42.647
1746,85.07
1279,90.95
871,1.0
2912,80.063
2741,0.96
893,11.477
1419,0.36
1801,5.693
2357,32.06
1854,0.0
915,1.72
3234,80.121
473,25.925
2398,0.715
985,93.09
3490,0.338
3465,0.112
335,84.744
551,62.253
1285,87.987
328,86.34
2918,37.48
2628,2.665
66,84.463
1716,48.091
1942,77.436
2078,2.79
2896,1.55
718,3.49
2140,0.14
2158,34.475
744,99.99
140,76.404
1880,83.884
1097,56.526
1029,76.25
1082,0.2
2347,0.783
2074,99.9
3213,75.276
583,1.0
1841,63.694
3416,0.028
930,1.45
2486,74.718
108,2.335
1119,0.63
1628,0.179
102,24.498
1866,0.64
3322,4.76
1884,61.539
2828,67.82
2952,12.333
3401,1.711
278,99.9
3292,1.31
1669,55.7
185,4.45
2453,0.22
208,23.55
1193,1.0
1220,0.05
1726,5.66
3319,3.36
724,2.31
1733,2.705
3254,15.944
19,13.856
1150,41.442
468,98.19
3377,99.9
54,0.076
1213,77.488
1529,90.02
1859,1.0
2374,78.426
1088,49.52
2493,26.135
3347,2.29
2791,86.473
2307,91.722
1537,0.0
3388,53.63
2291,80.14
1137,4.51
2845,98.9
750,9.539
2161,6.0
1126,26.0
82,36.174
122,26.04
3445,74.08
2518,33.39
3356,75.853
2373,90.822
3276,2.29
3205,1.0
1568,69.337
2277,46.05
2102,89.62
3423,59.76
1372,93.901
2268,70.334
2216,78.178
3107,51.86
689,51.782
1146,99.99
1069,0.01
214,49.599
2207,23.449
2690,2.58
2189,2.87
38,51.993
2902,0.0
2377,64.86
1076,99.99
2983,99.05
3011,39.484
339,44.531
1528,81.53
2993,26.156
293,7.518
1676,0.36
2946,8.422
3492,82.271
978,5.126
2168,1.48
2540,79.757
1661,2.529
2714,0.87
2125,61.206
811,99.99
479,0.127
2645,0.03
974,0.676
1295,2.222
726,25.16
1421,7.85
2717,18.96
3149,9.01
2866,64.227
1008,0.0
3045,13.79
1228,80.85
2310,0.023
434,75.137
2360,81.51
2449,3.845
561,35.701
205,63.07
1682,0.99
3335,87.6
1516,66.144
2688,85.49
658,2.65
3283,4.584
2096,1.88
89,22.26
644,64.53
760,25.681
1050,65.67
823,0.56
1234,63.75
1893,80.21
3414,23.247
1520,0.62
2700,68.651
2725,45.409
143,12.544
785,70.709
2050,85.03
1864,81.33
2143,98.17
2513,2.172
171,1.0
412,99.99
416,2.225
2162,57.79
1294,84.01
2445,0.111
3087,10.037
364,35.381
2666,99.99
740,99.99
73,17.256
2736,0.01
2795,43.64
1265,14.873
1988,5.263
1492,49.57
1216,31.197
2606,4.34
2099,16.6
3227,89.46
1998,50.08
631,0.1
3281,77.675
2670,11.68
1080,99.0
1405,3.54
632,1.0
1456,49.0
2035,34.17
2961,76.78
1851,64.477
3476,46.57
1802,78.48
178,74.931
498,0.12
484,39.945
2764,3.184
2254,0.28
2692,11.38
877,4.465
1166,99.99
1689,99.99
1340,1.071
3432,3.993
2838,81.39
759,3.154
1597,0.155
1356,99.99
3228,25.335
1598,13.045
992,24.692
2093,5.84
3267,41.77
2586,98.55
1843,26.797
2541,2.35
3427,30.05
319,0.14
184,0.0
3374,83.78
2399,30.9
2501,52.05
2028,99.0
839,0.008
2922,0.0
539,1.353
1154,1.81
801,2.9
2249,9.96
1135,0.0
210,43.3
65,6.34
863,25.302
2625,0.65
2587,9.9
1132,61.56
1026,72.23
341,57.755
875,32.431
1506,0.342
372,13.833
889,0.19
3015,55.74
2315,18.309
2600,7.27
1325,62.52
3008,1.71
96,42.176
2288,71.66
2381,76.58
3214,0.08
129,86.612
2119,66.96
1635,1.0
1985,76.09
3385,2.159
2302,17.938
2776,4.74
2911,2.8
370,80.92
1788,21.31
2116,2.55
1820,4.245
994,0.52
881,0.26
737,0.27
231,17.332
377,39.79
2833,98.81
2615,99.99
432,1.01
1361,0.0
1378,3.99
1591,0.89
1143,58.49
172,69.95
1876,2.77
814,84.82
948,11.703
16,59.496
2026,1.0
2020,11.302
3352,1.2
367,67.75
1406,0.047
3435,36.31
3257,4.96
2294,0.08
2416,99.99
2953,22.173
1848,4.68
2661,39.4
1935,0.01
2552,9.08
1624,14.7
3355,99.9
542,7.74
1459,1.0
1668,1.151
1903,37.26
552,13.05
362,99.99
549,84.161
2539,99.9
81,76.42
1730,99.99
3271,97.105
355,89.069
2083,3.655
554,59.544
693,28.785
2597,78.59
649,73.79
2832,78.66
3473,16.63
420,0.386
1229,12.76
1089,93.737
2945,99.99
960,20.581
1164,0.14
371,99.99
3092,77.76
2406,49.141
1575,99.99
1484,16.829
3124,55.785
1858,84.68
258,48.792
769,1.8
2061,16.6
2018,1.43
114,53.886
1816,18.05
1594,79.069
957,51.7
679,6.87
56,60.227
3346,80.7
435,73.039
1057,83.609
155,2.386
2482,71.156
1016,34.217
60,50.85
2077,0.249
782,77.653
35,81.57
2935,58.704
1650,4.21
1060,50.74
358,0.46
1123,0.692
3436,0.91
524,1.0
1200,0.199
2719,0.581
265,59.094
1585,9.602
1664,64.95
1968,0.16
1518,2.419
3358,4.86
2737,5.049
2484,38.242
336,23.003
1156,0.606
887,75.03
494,84.672
580,23.271
3349,79.835
2479,85.599
3300,60.573
1189,22.31
2855,76.17
212,99.99
3485,2.45
1064,0.7
75,0.041
3127,16.39
1312,5.58
1031,99.9
3043,0.4
247,78.06
1595,76.24
3263,10.487
1500,83.81
1919,3.89
186,0.56
2455,80.085
2015,96.6
2056,1.064
2404,1.0
1622,1.0
2464,80.207
1075,95.12
2422,95.5
2779,70.515
1781,95.71
1655,74.94
32,55.941
2986,0.09
1124,37.419
2507,8.218
445,16.043
2998,99.99
464,2.62
3458,23.454
2179,62.191
1681,99.71
2314,65.5
1809,14.94
1946,1.554
2450,0.06
243,1.513
1704,99.0
401,99.9
2032,88.07
1984,0.55
3446,23.654
450,0.829
1227,31.38
3497,0.45
2703,87.605
2333,0.29
471,8.34
2534,5.884
3172,54.36
3016,53.06
1674,62.864
2385,0.19
2762,0.0
1787,1.001
1833,16.776
611,12.955
1407,48.35
3389,16.15
2969,42.49
2720,97.941
2122,20.045
2784,35.673
2441,57.628
3032,0.543
3367,93.8
2321,1.157
1218,2.462
1776,99.0
1498,0.201
3041,8.132
3068,1.04
2097,72.473
1729,76.315
540,1.21
110,39.47
1631,53.28
510,77.79
1613,70.598
1995,89.441
2790,63.89
2045,76.9
2092,35.639
2781,30.772
1719,4.931
1607,1.0
2932,27.809
78,3.25
2475,20.465
2317,33.577
1996,17.17
2470,59.65
313,42.5
2564,7.015
1307,47.785
911,11.97
697,0.025
2386,42.087
466,54.4
1019,0.117
363,11.49
1842,72.651
3262,30.26
1344,87.434
1360,43.43
2963,0.03
2069,55.82
2877,99.9
3429,48.968
1524,0.92
1034,0.2
83,22.83
79,87.254
662,131.72
1439,1.0
3407,4.6
919,52.214
1440,34.94
2821,0.897
2657,0.65
2466,82.397
2253,18.391
2376,89.2
808,29.231
1510,0.02
656,75.94
1921,28.651
1442,2.035
3303,0.06
858,31.309
1803,55.29
2499,0.302
2843,94.6
2533,1.28
844,46.97
833,5.92
1614,88.18
213,46.58
3067,7.915
131,17.7
439,54.529
2974,1.39
2421,3.47
1609,1.623
853,4.39
448,84.229
3341,0.883
2802,15.38
3189,59.817
3216,44.19
1727,98.91
103,47.004
523,69.74
1102,11.38
1821,45.06
1415,77.78
165,0.57
2985,77.387
907,16.34
2397,0.04
3456,19.68
2419,99.99
1860,6.609
2594,26.55
1741,1.979
395,1.76
625,21.728
695,66.273
947,1.467
761,47.348
2311,23.33
1383,85.37
2228,42.712
3393,29.34
1401,0.051
645,14.28
3236,1.0
2663,28.66
3418,1.281
1882,41.44
771,0.025
3139,0.07
51,24.971
2728,0.09
1375,2.54
1121,88.856
3180,5.37
1035,82.25
2451,44.147
2286,14.82
2145,79.38
2984,0.52
111,9.17
183,0.82
2517,8.627
613,99.99
2637,0.05
3282,23.884
1706,65.76
1557,92.93
3373,25.39
1711,1.152
1178,99.9
2129,0.355
397,0.07
1291,8.243
1630,30.12
3005,80.109
2699,99.99
1743,94.14
2136,0.689
2086,0.06
3350,99.99
2596,1.04
571,0.04
3495,56.15
3076,4.913
2677,10.445
2309,99.99
1534,21.88
3148,1.34
1874,87.05
356,1.094
608,3.75
239,78.0
3387,0.24
2940,30.586
2167,0.01
1814,2.464
374,96.791
3291,5.9
1937,16.161
1321,2.916
1125,35.935
3098,92.21
1527,1.0
2573,35.31
2819,45.0
729,29.9
2458,72.15
2495,0.16
1391,0.05
3121,22.764
1408,94.88
3178,0.06
2264,4.68
382,0.285
2747,93.25
1502,39.95
2768,99.636
3073,16.24
1320,84.136
2948,101.38
1233,2.56
2236,72.14
3204,8.82
681,8.94
2664,1.37
1274,80.3
2364,1.375
123,99.99
660,0.003
1796,62.088
2579,70.15
2303,99.9
1960,31.63
3056,90.36
230,0.12
901,71.077
2794,80.858
765,96.01
3079,10.268
2853,94.94
2428,86.98
2815,31.86
1745,75.0
787,97.39
2149,32.673
3243,5.965
2752,62.032
421,0.13
2871,11.593
1873,99.99
3198,14.57
2138,0.466
798,61.536
1870,0.337
2007,31.98
2571,0.05
626,3.28
495,96.794
2869,73.32
1616,0.82
1782,57.074
2206,3.998
1890,0.96
790,7.365
2557,4.73
3028,96.031
2414,96.37
3272,0.218
2276,1.535
3162,45.86
417,71.567
742,8.251
2127,55.13
1214,56.92
492,88.27
1909,94.904
1169,6.284
2608,94.93
1342,70.151
824,92.98
2887,14.69
2870,60.6
1481,2.39
3314,52.94
3305,2.918
3102,45.92
1024,53.13
2461,7.321
592,99.0
2964,66.67
3251,59.62
3153,99.0
2508,81.52
1797,90.14
2713,78.78
127,0.13
2959,16.28
2437,38.13
403,16.257
150,0.162
3370,0.54
2394,8.786
1437,23.373
1629,57.53
2831,92.87
2442,40.28
62,23.86
2336,0.21
2256,55.77
2544,5.777
2400,23.648
95,21.28
959,92.61
2191,45.587
3025,17.58
1576,0.83
2754,0.076
2153,0.03
236,40.884
222,98.31
3273,17.633
2393,91.0
1810,4.81
120,14.727
1685,49.17
2636,87.76
3496,0.03
2380,14.59
2639,0.33
193,26.13
2283,70.432
181,70.231
3135,98.54
389,6.444
968,61.556
3259,32.082
1545,2.36
669,14.09
3364,65.304
1365,97.07
1394,33.65
331,1.961
614,2.929
1286,82.792
266,1.087
1932,0.1
2199,6.95
2593,99.0
1807,99.99
225,43.3
105,0.994
2413,99.99
1508,21.025
3437,88.07
630,5.303
2068,1.034
870,92.35
2290,66.109
2098,0.396
1186,19.84
2489,0.159
1891,1.0
1755,2.313
1926,24.84
707,99.775
2822,10.252
2949,29.51
2349,1.28
2220,5.01
1688,0.63
284,78.2
1659,53.64
920,30.98
1433,48.01
3209,0.777
3265,10.93
734,99.99
1812,26.557
2392,73.56
2354,99.99
3462,1.3
922,17.803
1402,26.977
3280,59.15
167,3.25
2469,0.97
2273,0.47
3242,99.9
12,0.761
1546,65.77
617,10.943
1092,3.82
90,0.1
612,77.811
3163,0.76
1404,88.233
857,6.625
2878,86.491
777,2.172
1638,12.245
1986,93.69
2352,5.334
3309,37.89
28,3.855
1522,32.481
1066,87.719
1911,5.46
2538,99.08
74,86.931
515,58.755
1309,79.71
2609,1.678
2227,27.42
2002,94.28
2157,97.1
1584,1.745
1517,81.685
116,17.394
2341,72.424
1072,47.751
2691,54.71
1799,99.99
3173,63.635
2914,78.112
1600,90.74
622,47.487
3146,50.785
409,81.853
2684,3.93
1623,3.48
115,99.9
288,69.998
2907,46.293
1181,5.01
337,88.35
2687,51.15
46,77.245
747,38.32
3195,26.803
753,24.79
462,0.31
1938,29.57
673,1.532
2712,1.063
1201,33.263
3137,4.144
424,99.99
325,1.0
664,87.719
350,29.17
447,99.9
709,3.15
1924,0.498
1722,0.429
1221,0.009
2939,0.323
1149,64.713
387,0.866
1369,0.31
1337,35.226
754,64.961
2186,75.745
451,0.31
1194,0.34
699,17.37
2247,48.43
1608,20.35
830,72.613
950,29.24
3311,87.157
2444,1.31
1734,97.79
1413,2.254
1409,54.55
3475,2.866
3089,63.495
1177,0.08
3049,0.22
2006,10.628
1253,88.295
2477,99.9
21,33.778
1305,41.26
2814,2.754
2440,81.05
2298,85.592
3405,54.32
671,6.0
3279,84.524
1941,59.937
845,0.508
694,73.152
2885,30.107
1353,0.053
1133,5.0
869,0.016
604,39.092
834,4.34
2861,86.491
627,1.176
902,63.65
1747,65.34
2748,77.32
2051,22.88
2757,18.87
3464,1.776
321,80.735
696,97.91
1179,2.87
2778,67.78
624,59.94
3240,94.28
2173,15.61
1011,9.274
1480,83.75
1090,44.036
848,77.006
3048,2.67
780,17.61
605,0.1
174,79.53
1202,96.16
2269,99.644
2463,59.03
100,96.269
1243,86.305
741,0.0
334,0.5
2882,1.855
1705,38.63
2881,48.717
594,74.5
1333,74.44
2214,0.011
3384,0.669
1551,21.7
2919,0.1
1542,80.38
2968,0.539
327,99.99
1933,74.633
640,60.514
2152,1.49
2042,4.553
2863,28.198
1468,99.9
1838,0.861
3391,71.083
460,37.38
1046,46.831
1398,0.936
1562,84.13
1975,45.08
2633,0.29
419,0.13
738,74.0
1879,99.99
1389,46.47
1438,0.04
497,81.05
2750,0.74
375,1.029
975,34.208
1209,0.23
3078,95.56
404,88.759
2467,92.22
1425,0.092
93,17.95
1769,83.3
2221,27.7
2738,0.0
1849,17.67
827,0.746
428,34.949
1889,72.89
3006,56.19
3244,1.886
2766,0.84
282,56.092
2899,10.935
343,54.426
2683,3.487
2786,60.745
2547,7.815
1113,17.16
1574,84.006
691,67.7
0,26.01
1582,99.99
1707,3.59
1416,99.99
2021,0.555
2003,36.1
1993,33.45
1131,22.74
2304,6.134
1247,55.391
3104,63.15
2375,54.48
2150,34.39
2261,48.2
3491,0.07
1159,49.344
2900,65.4
246,1.0
3472,16.646
3136,21.62
2685,19.47
1671,99.99
929,0.15
3197,83.972
1461,1.84
1971,99.9
365,41.486
2296,6.76
736,99.99
26,0.09
2884,1.0
1441,99.0
3323,42.19
680,58.86
3064,99.9
1250,44.73
3,5.71
2182,6.401
837,63.522
2403,61.692
292,74.25
698,0.71
1048,59.806
3225,58.98
2417,48.71
3411,8.59
1667,63.85
1963,55.4
1249,92.4
2274,20.684
1298,2.54
1868,54.152
2387,99.9
1443,68.581
2671,75.93
603,46.993
1289,3.217
2502,0.11
63,1.451
1579,16.829
1883,1.908
990,21.11
1384,2.141
237,0.39
650,1.913
1967,0.84
112,36.9
1348,19.678
804,15.493
1556,0.26
577,1.63
1834,32.61
126,25.94
3112,46.719
3185,47.83
851,45.085
2742,99.9
2185,69.438
3141,79.5
7,2.673
2550,32.81
854,18.08
2995,83.2
2679,79.43
3325,0.509
2977,32.27
3175,42.36
407,44.02
3451,61.131
2405,99.43
153,74.104
1566,17.817
2391,0.19
2353,18.425
1004,93.1
2660,95.94
3096,34.02
280,1.522
3233,99.9
3442,99.99
400,44.99
1596,88.219
1497,36.138
2516,73.75
1479,99.99
1800,1.86
2009,54.98
504,61.18
2582,45.373
1744,99.99
903,1.624
2040,0.06
1672,3.42
550,36.23
1862,7.782
3394,1.78
1805,63.06
3147,49.21
1130,38.386
945,92.17
163,72.54
1660,0.67
1690,54.804
2384,63.97
2107,5.5
3375,0.446
1514,8.868
449,86.059
2903,42.66
941,52.26
2834,70.429
3301,1.55
1532,6.177
1847,83.479
437,63.54
1314,99.99
786,0.005
873,5.22
739,21.985
2867,14.69
1006,97.412
1844,32.262
586,8.559
1306,5.49
2989,2.87
348,53.646
2471,0.579
1028,33.707
1163,4.93
2511,14.99
3379,70.391
1541,0.31
2701,0.193
573,74.35
647,49.744
595,0.364
2938,33.64
1251,2.686
1558,24.945
1308,0.11
470,3.26
800,99.99
281,89.518
932,16.2
732,0.63
2763,91.464
2880,69.73
2999,83.8
3183,19.685
1144,22.121
1617,39.14
3085,0.0
3126,99.9
2503,23.115
584,91.912
2195,77.6
160,99.9
1111,69.274
2798,18.39
1915,96.03
859,2.86
952,10.49
3420,0.04
1331,99.0
