,SMILES,AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,LogD,Molecular_PolarSurfaceArea
283,CC(=O)N1CCN(C(=O)Cn2nc(C)c(C)c2C)CC(O)C1,-0.634,308.376,4,1,2,-0.634,78.67
1952,CC(=O)CC1c2ccc(Br)cc2NC(C)(C)C(=O)N1OCc1ccccc1,3.49,431.323,3,1,5,3.49,58.64
563,O=C1C[C@H](n2nc(-c3ccc(F)cc3)oc2=S)[C@H]2CO[C@@H]1O2,2.503,322.312,6,0,2,2.503,92.45
921,Cn1cc(C2(C)CN(Cc3nc(-c4cccs4)n[nH]3)CCO2)cn1,1.585,344.435,5,1,4,1.531,100.1
1939,Cc1ccccc1CNc1ccccc1NC(=O)c1ccc(C(=O)c2cc[nH]c2)cc1,4.991,409.48,2,3,7,4.99,73.99
969,Cc1nn(CC(=O)N2c3c(c(C)nn3C)N(C(=O)OC(C)(C)C)CC2C)c(C)c1Cl,2.568,436.936,5,0,4,2.487,85.49
2549,OC(Cc1c[nH]c2ccccc12)(c1ccccc1)c1ccccc1,4.892,313.392,1,2,4,4.892,36.01
913,Cc1noc(C)c1CCNc1ncnc2onc(-c3cccc(Cl)c3)c12,3.65,369.805,4,1,5,3.645,89.87
3170,CC(C)=CCn1c(CO)nc2c1c(=O)n(C)c(=O)n2C,0.954,278.307,4,1,3,0.945,78.67
2238,c1ccc2c(-c3cn4c5ccccc5n(CCN5CCCCC5)c4n3)cccc2c1,5.478,394.511,2,0,4,4.121,25.47
2601,CCOC(=O)Nc1ccc(Br)c2ccc(OCc3ccccc3)c(CCCO)c12,5.339,458.345,4,2,9,5.339,67.79
723,COc1cc(OC)c(C(=O)Nc2sc(C(C)C)cc2C(=O)OC(C)C)cc1OC,4.208,421.507,6,1,9,4.208,111.33
2415,Cc1cc(N2CCCC(N3CCN(C(=O)Nc4cc(C)on4)CC3)C2=O)n(C)n1,0.743,401.463,5,1,3,0.669,99.74
2777,Cc1ccc(-c2cc(NC(=O)c3oc4ccc(F)cc4c3C)on2)cc1,4.913,350.343,2,1,3,4.913,68.27
1818,O=c1c2ccccc2nc(NCCCCc2ccccc2)n1-c1ccccc1,5.424,369.459,2,1,7,5.424,44.7
1027,Cc1ncc2c(c1O)COC(C)OC2,0.306,195.215,4,1,0,0.306,51.58
597,CC(C)Oc1ccc(CN2C(=O)c3cc4ccsc4n3CC2(C)C(=O)NCc2ccc(F)cc2)cc1,4.982,505.604,3,1,7,4.982,91.8
1338,CCn1cnc2c(Nc3ccc(OC)c(Cl)c3)nc(Cl)nc21,3.913,338.192,4,1,4,3.913,64.86
1061,CC(C)Oc1cccc(/C=C(/F)Oc2ccc(OC[C@@H]3C[C@@](Cn4cncn4)(c4ccc(Cl)cc4Cl)N(C)O3)cc2)c1,6.659,613.507,7,0,11,6.661,70.87
997,COc1cccc(N(Cc2n[nH]c(=O)[nH]2)C(=O)CCC2CCCC2)c1,2.407,344.408,4,2,7,2.407,83.03
2759,O=C(c1ccc(Nc2nc3ccccc3n3nnnc23)cc1)N1CCc2ccccc2C1,3.397,421.454,5,1,3,3.397,88.31
1830,Oc1ccc([C@H]2Oc3cc(O)cc(O)c3C[C@H]2O)cc1,2.263,274.269,5,4,1,2.259,90.15
1569,[H][C@@]1(C(C)(C)O)C(=O)Oc2cc(OC)ccc2[C@H]1c1cccc(OCCC)c1,4.001,370.439,5,1,6,4.0,64.99
2890,Clc1ccccc1C1NCCc2c1[nH]c1ccccc21,4.197,282.767,1,2,1,4.122,27.82
653,Cc1cc(C)c(C2=C(NC(=O)C(C)C)C3(CCCC3)OC2=O)c(C)c1,4.537,341.444,3,1,3,4.537,55.4
1412,COc1ccc2c(c1)cc(C(=O)Nc1c(C)cccc1C)n2C,4.361,308.374,2,1,3,4.361,43.26
3268,Fc1ccccc1-c1cn2c3ccccc3nc2n1CCN1CCCCC1,4.775,362.443,2,0,4,3.42,25.47
3033,COc1ccc2c(c1OC)C(=O)N1c3ccccc3C(=O)N(CC(=O)Nc3ccc4nc[nH]c4c3)C21,2.125,483.475,6,2,5,2.265,116.85
2202,Cc1c(C)c(C)c(S(=O)(=O)N(C)c2cnccn2)c(C)c1C,3.192,319.422,4,0,3,3.192,71.54
667,Cc1cc2n(n1)CC(CNC(C)COc1ccc(F)cc1F)CN2,2.594,336.38,3,2,6,2.259,51.11
3212,Cc1ccc2[nH]cc(CCNC(=O)Nc3ccc(Cl)c(Cl)c3)c2c1,4.959,362.253,1,3,4,4.959,56.92
878,COc1ccc(CNC(=O)CCc2nnc3ccc(-c4ccc(Cl)cc4)nn23)c(OC)c1,3.699,451.905,6,1,8,3.698,90.64
1929,COC(=O)c1csc(COc2ccc(F)c(F)c2)n1,2.74,285.267,4,0,5,2.74,76.66
340,O=C(Nc1ccc(/C=C/C(=O)N2CCC[C@H]2C(=O)O)cc1)Nc1ccccc1Br,3.231,458.305,4,3,5,1.826,98.74
2773,O=C(Cc1ccc(N(Cc2ccccc2)C(=O)C2CCCC2)cc1)NCc1ccco1,4.418,416.512,2,1,8,4.418,62.55
2233,O=C(CN(CCc1ccccc1)C(=O)CNS(=O)(=O)c1ccccc1)NCC1CCCO1,1.33,459.558,5,2,11,1.354,113.18
1757,CCC(CC)(CC)S(=O)(=O)Cc1csc(C(C)(C)C)n1,4.343,317.51,3,0,7,4.35,83.65
1633,O=C(c1ccccc1)N1CC(c2nc(-c3cccnc3)no2)C2(CCOCC2)C1,1.379,390.435,5,0,3,1.383,81.35
3481,O=C(Nc1cc2ccc(O)cc2s1)Nc1ccc(Br)cc1F,4.221,381.22,2,3,2,4.22,89.6
1936,Cc1nn(-c2ccc(Cl)cc2)c2[nH]c(=O)c(CNCC3CCCO3)cc12,2.407,372.849,4,2,5,2.183,68.18
518,CSc1nc2ccccc2c(=O)n1-c1ccccc1,3.813,268.334,3,0,2,3.813,57.97
2460,COc1cc(Nc2ncnc3c2cnn3-c2ccc(C)cc2C)cc(OC)c1OC,4.689,405.45,6,1,6,4.689,83.32
766,CC(C)Oc1nnc(SCc2nc3c(=O)n(C)c(=O)n(C)c3[nH]2)s1,1.46,368.435,7,1,5,1.46,157.85
3460,Brc1ccc2nc(-c3cccs3)cn2c1,3.219,279.156,1,0,1,3.276,45.54
2429,O=C(Nc1c(C(c2ccc(Cl)cc2)N2CCN(CCO)CC2)oc2ccccc12)c1cccs1,4.824,496.021,4,2,7,3.478,97.19
906,Cn1c2c(c3cc(O)ccc31)C=NC(Cc1ccccc1)C(=O)N2,3.078,319.357,3,2,2,3.073,66.62
3222,O=C1CCC(=O)N1OCCCOc1ccc2c(c1)CCC2,2.011,289.326,4,0,6,2.011,55.84
2598,CC(C)(C)c1cc(NC(=O)Cn2nnn(-c3ccccc3)c2=O)on1,3.038,342.353,5,1,5,3.038,103.4
1212,CN(C)c1ccc(C2c3cccn3-c3sc4c(c3CN2C(=O)NCc2ccccc2)CCCC4)cc1,6.501,496.666,1,1,4,6.501,68.74
838,Cc1ccc(Cl)c(OCC(O)Cn2cnc3cc(C)c(C)cc32)c1,4.795,344.835,3,1,5,5.58,47.28
268,O=c1[nH]ncn2c1cc1cc(Br)ccc12,2.338,264.078,2,1,0,2.338,46.39
1049,O=c1cc(CSC2CCCCC2)nc2sc3c(n12)CCCC3,4.221,334.499,4,0,3,4.221,83.27
1281,CC(C)n1ncc2c1NC(=O)CC21C(=O)N(C)c2cc(Cl)cc(Cl)c21,2.269,379.241,3,1,1,2.266,67.23
2987,CCc1nc(-c2cccc(-c3noc(-c4ccc(Br)o4)n3)c2)cs1,4.438,402.265,3,0,4,4.438,93.19
2491,Cn1ccnc1-c1[nH]c(-c2ccc(Cl)cc2)nc1-c1ccc(C(C)(C)C)cc1,5.963,390.909,2,1,4,5.983,46.5
107,COc1ccc(S(=O)(=O)Nc2ncccn2)cc1,1.043,265.288,5,1,4,1.14,89.56
2925,O=C(O)CC1NC(=O)N(c2ccc(Cl)cc2)C1=O,1.151,268.653,4,2,3,-0.284,86.71
3478,CCCNS(=O)(=O)c1ccc(CCC(=O)N2CCC(C(=O)OCC)CC2)cc1,2.194,410.528,5,1,10,2.194,101.16
1081,Cc1c(C(=O)OC(C)C)sc2ncnc(N3CCCCC3)c12,4.09,319.422,4,0,4,4.089,83.56
1603,Cc1ccc2c(=O)c(-c3nc(-c4ccccc4C)no3)cn(CC(=O)NC3CCc4ccccc43)c2n1,4.202,491.54,5,1,5,4.202,101.22
731,Cn1c(CN2CCN(C(=O)c3ccccc3)CC2)nc2cc(NC(=O)c3ccccc3[N+](=O)[O-])ccc21,3.378,498.533,6,1,6,3.531,116.29
1354,Cc1ccc(N(CC(O)CN2CCCCC2)S(=O)(=O)c2ccc3ccccc3c2)cc1,4.463,438.582,4,1,7,3.413,69.23
3111,CCN(C(=O)c1cc(C)c(C)[nH]c1=O)[C@H]1COC[C@@H]1O,-0.436,280.32,4,2,3,-0.436,78.87
238,Cc1cc(C(=O)Nc2nnc(Cc3cccs3)o2)n(C)n1,1.667,303.34,4,1,4,1.667,114.08
2065,COc1cccc(Cn2nnc3cc(C(=O)N4CCC5(CC4)OCCO5)ccc32)c1,2.686,408.45,6,0,4,2.686,78.71
2577,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1O,4.172,364.169,4,2,3,4.131,67.27
1184,Cc1ccc(N(C(C)C(=O)N(C)C)S(C)(=O)=O)cc1,1.183,284.374,3,0,4,1.181,66.07
2906,COCCOc1cc(=O)n2c(c1C(=O)NCc1ccc(OC)cc1)CCOCC2,0.089,402.441,6,1,8,0.089,86.33
1336,CC(C)S(=O)(=O)c1ccc(CC(=O)NCC(O)Cn2ccccc2=O)cc1,0.515,392.469,5,2,8,0.515,112.16
1368,Cn1c(=O)n(-c2ccccn2)c(=O)c2c3c(sc21)COC(C)(C)C3,2.267,343.4,4,0,1,2.362,90.98
1857,Nc1ccc(C(=O)Nc2nc(-c3ccc(F)cc3F)cs2)cc1,3.223,331.34,2,2,3,3.223,96.24
1583,CN(C)C1(CNC(=O)c2cccs2)CCCCC1,2.844,266.402,2,1,4,1.332,60.58
3329,COc1ccc(S(=O)(=O)N(C)c2ccc(C(=O)Nc3ccccc3-c3ccccc3)cc2)cc1,4.81,472.555,4,1,7,4.81,84.09
1158,Fc1ccc(Oc2ccccc2CNc2nnco2)c(Cl)c1,3.567,319.718,3,1,5,3.567,60.18
3038,Clc1nc(N2CCN(c3ccccn3)CC2)c2nc[nH]c2n1,2.34,315.761,4,1,2,2.339,73.83
1290,Cc1sc(NC(=O)NCC(CC(C)C)N(C)C)c(C#N)c1C,2.991,322.469,3,2,6,1.687,96.4
912,C(=C/c1ccccc1)\CNCCCN1CCOCC1,1.724,260.375,3,1,7,0.736,24.5
204,c1ccc(OCCN2CCCC3(C2)Nc2ccccc2-n2cccc23)cc1,4.676,359.464,2,1,4,3.133,29.43
190,COc1cc(-c2nc(C)c(C(=O)NCCc3ccc(S(N)(=O)=O)cc3)s2)cc(OC)c1OC,2.553,491.58,7,2,9,2.588,166.45
487,CCC(=O)N(CCC1(c2ccccc2)CCOC(C)(C)C1)CC1CCOC(C)(C)C1,3.877,415.609,3,0,7,3.877,38.77
2064,Cc1c2cnn(CC(=O)NC3CCCc4ccccc43)c(=O)c2c(C)n1Cc1cccc(Cl)c1,4.556,474.982,3,1,5,4.556,66.7
438,Cc1nc2[nH]nc(N)c2c(C)c1-c1cnn(CCC(C)C)c1,2.832,298.386,3,2,4,2.922,85.41
244,COc1cc(=O)n2c(c1C(=O)Nc1cccc3c1CCCC3)CCCC2,2.91,352.427,3,1,3,2.91,58.64
609,CCCC(=O)c1c[nH]c2c(OCC)nccc2c1=O,1.747,260.288,4,1,5,1.749,68.29
2113,CC(C)C[C@@H]1NC(=O)[C@H](Cc2nc(Br)[nH]c2Br)NC1=O,1.458,408.089,3,3,4,1.458,86.88
2992,Cc1nnc(N2CCc3nn(C)c(=O)cc3C2)c(C#N)c1C,1.188,296.327,5,0,1,1.188,85.47
2604,CN(C)S(=O)(=O)c1ccc(COc2ccc(-n3ccnc3)cc2)o1,1.49,347.389,4,0,6,1.664,85.95
1183,COc1cc(/C=C/C(C)=O)ccc1O,1.769,192.211,3,1,3,1.766,46.53
2226,O=C(c1ccc2cccnn12)N1C[C@@H](Cc2ccccc2)[C@H](O)C1,2.208,321.373,3,1,3,2.207,57.84
2876,CCOc1cc(=O)n2c(c1C(=O)NC1CCCC1)CCCCC2,2.027,318.411,3,1,4,2.027,58.64
2447,CCOc1cc(=O)n2c(c1C(=O)Nc1cc(OC)c(Cl)cc1OC)CCCC2,2.377,406.86,5,1,6,2.377,77.1
1618,CNC(=O)[C@@H]1C[C@H](Oc2ccccc2)CN1C1CCN(C(=O)NC(C)C)CC1,1.149,388.504,4,2,5,-0.101,73.91
1980,O=C(C1CC(=O)N(c2n[nH]c3ccccc23)C1)N1CCC(c2noc3cc(F)ccc23)CC1,2.976,447.462,4,1,3,2.976,95.33
1079,CC1CCC(NS(=O)(=O)CC(=O)N2CCOCC2(C)C)CC1,0.81,332.459,4,1,4,0.865,84.09
1503,CCN(CC(O)COc1ccccc1)C(=O)c1cccc(-c2ccc(O)cc2)c1,3.99,391.46,4,2,8,3.86,70.0
1742,COc1ccc(C(=O)C2=CN(c3ccc(N(C)C)cc3)c3ccccc3S2(=O)=O)cc1OC,4.096,464.533,5,0,6,4.096,84.53
426,N=c1sc2cc(OC(F)(F)F)ccc2n1CCO,3.739,278.251,4,2,4,3.73,81.85
3317,CC(C)C(NCc1cc(=O)n(C)c(=O)n1C)c1ccc(C2CCCCC2)cc1,4.163,383.527,3,1,6,4.005,52.65
3156,CC1CCN(c2ccc(-c3noc(C(=O)NCCc4nc5ccccc5[nH]4)n3)cc2)CC1,3.706,430.502,4,2,6,3.673,99.94
2295,O=C(NCc1cccc(F)c1)c1c(OCC2CC2)cc(=O)n2c1CCCCC2,2.885,384.444,3,1,6,2.885,58.64
2372,CC(C)(C)OC(=O)Nc1cccc(C(=O)NCc2c(F)cccc2F)n1,3.544,363.359,4,2,6,3.544,80.32
943,O=C1CC(N2CCC3(CC2)OCCO3)C(=O)N1c1ccc2c(c1)OCO2,0.848,360.361,7,0,2,0.848,77.54
3027,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCC1CNCCO1,3.512,445.31,6,2,6,3.5,77.53
2318,CC1=C(C(=O)OC(C)C)C(c2ccc(F)cc2)N2N=CNC2=N1,2.224,316.33,4,1,4,2.121,66.28
3208,Cn1cncc1-c1cccc(-c2cn3cccc(C#N)c3n2)c1,2.299,299.329,3,0,2,2.34,58.91
812,CCN(CC)C(=O)Cc1c(/C=C/c2ccccc2)[nH]c2ccccc12,4.547,332.439,1,1,6,4.547,36.1
459,CCC(C)Nc1c(C(C)=O)c(=O)[nH]c2c(C(=O)OC)scc12,1.236,322.379,4,2,6,1.236,112.74
2066,Cn1nc(C(=O)N2CCOCC2)cc1C(=O)Nc1ccc(F)cc1OC(F)F,2.097,398.336,5,1,5,2.097,85.69
933,COc1cc(=O)n(-c2ccccc2)cc1C(=O)N1CC(S(=O)(=O)c2nccn2C)C1,0.177,428.462,6,0,5,0.177,110.18
303,CC(=O)OC/C=C/CCCC/C=C/COC(C)=O,2.621,254.322,4,0,11,2.621,52.6
2316,CC1c2cc3c(cc2C2(CCCC2)CN1C(=O)c1ccncn1)OCCO3,2.849,365.426,5,0,1,2.849,64.55
1138,CCOc1cc(=O)n2c(c1C(=O)NCc1ccc3c(c1)OCO3)CCCC2,1.52,370.399,5,1,5,1.52,77.1
676,CCCn1c2c(c(O)c(C(=O)OCC)c1=O)CCCC2,1.949,279.332,4,1,5,1.246,66.84
2100,CC(=O)c1[nH]c(C)c(C(=O)N[C@H]2C[C@@H](c3nnc(CO)n3C)C2)c1C,0.379,345.396,5,3,5,0.379,112.9
144,CCCNC1=Nc2ccccc2S(=O)(=O)N1CCC,2.479,281.374,3,1,5,2.429,70.14
1363,CC(C)(C)c1ccc(S(=O)(=O)n2ccnc2)cc1,2.474,264.343,3,0,3,3.378,60.34
2510,Nc1nc(N2C(=O)C3CC=CCC3C2=O)nn1-c1ccccc1,1.87,309.323,4,1,2,1.869,94.11
41,CCN(CC)S(=O)(=O)c1cc(Br)cnc1N,1.034,308.195,3,1,4,1.034,84.67
3328,O=C(Nc1ccc(Oc2cccnc2)nc1)c1c[nH]c2ccccc12,2.706,330.34,4,2,4,2.709,79.9
3210,Cc1n[nH]c2c1C(c1c(Cl)nc3sccn13)SCC(O)=N2,1.997,339.824,5,2,1,1.997,132.1
1555,CCOC(=O)Cc1c(-c2cc3ccccc3n2C)[nH]c2ccccc12,4.963,332.396,2,1,5,4.963,47.02
1276,CCN(CC)/C(=N\S(=O)(=O)c1ccccc1C)c1ccccc1,3.193,330.444,3,0,6,3.193,58.12
2355,CC(C)Nc1nc(NCCO)nc(N2CCC(N3CCOC(C)C3)CC2)n1,1.651,379.5,6,3,7,1.494,98.67
1961,CS(=O)(=O)N1CCC[C@H]1C(=O)NCCCn1nnc2ccccc21,0.548,351.424,5,1,6,0.548,105.57
2348,O=C(Nc1cccnc1Cl)NC1CCc2[nH]cnc2C1,1.032,291.736,3,3,2,2.01,82.69
2123,Cc1nc2cc(NC(=O)c3cccc4cn[nH]c34)ccc2o1,2.044,292.292,3,2,2,2.044,83.81
3308,COc1cccc2c1OC1(CCN(Cc3ccccc3)CC1)N1N=C(c3ccc(C)o3)CC21,4.647,443.537,4,0,4,4.556,50.44
2031,CCO[C@@H]1CCC[C@H](CC(=O)c2cccs2)[C@H]1C(=O)c1cccs1,4.463,362.506,3,0,7,4.463,99.85
3192,COc1cc(C)ccc1OCCN1CC[C@H]2CNC[C@H]21,1.971,276.374,4,1,5,0.41,33.73
390,CC(C)c1cc(C(=O)N2CCC(Oc3ccc(-c4ccc(S(C)(=O)=O)cc4F)nc3)CC2)no1,3.533,487.544,6,0,6,3.533,110.98
2548,COCCOc1cc(=O)n2c(c1C(=O)Nc1cccc(OC)c1)CCOCC2,0.082,388.414,6,1,7,0.082,86.33
2401,CC1CCN(S(=O)C23CC4CC(CC(C4)C2)C3)CC1,3.084,281.457,1,0,2,3.084,39.52
1779,CCN(CCCNC(=O)CN1C(=O)c2cccnc2Oc2ccc(C)cc21)c1cccc(C)c1,4.193,458.552,4,1,8,3.929,74.77
3022,Cc1ccc(C2(c3ccccc3)C=C(c3ccccc3)N(S(=O)(=O)c3ccc(C)cc3)O2)cc1,6.319,467.579,3,0,5,6.319,54.99
251,Cn1cc(C(N)=O)cc1C(=O)Nc1ccccc1Oc1ccccc1,2.768,335.357,3,2,5,2.768,86.35
1620,Cn1c(N2CCN(C(=O)c3cc4cc(Cl)ccc4[nH]3)CC2)cc(=O)n(C)c1=O,2.278,401.847,3,1,2,2.278,79.96
357,Cc1ccc(C)c(CNc2cc(-n3ccnc3)ncn2)c1,3.163,279.34,3,1,4,3.321,55.63
1990,COC(=O)c1ccc(-c2ccccc2NS(C)(=O)=O)s1,2.359,311.377,4,1,5,2.406,109.08
3293,Cc1cn(C)c(CC(=O)NCCCN2CCC(Cc3ccccc3)CC2)c1C(=O)O,0.603,411.537,4,2,9,0.603,74.57
