,HLM
2829,89.02
2067,69.879
1798,41.45
1036,75.941
1210,1.181
3119,30.02
3099,7.26
1494,99.99
2363,59.331
1515,19.875
106,4.686
1703,33.0
85,0.98
1226,0.26
1039,62.85
474,89.49
1195,76.58
1142,99.99
2975,35.0
2756,91.35
431,91.15
1526,68.28
513,50.764
1725,0.02
1991,86.82
1351,98.87
1678,99.0
2112,84.7
633,3.02
2933,2.286
629,6.624
1656,0.254
2530,91.63
1339,99.99
2244,39.28
2569,99.0
301,99.0
345,99.99
2602,28.78
2652,10.471
2240,99.9
3340,76.287
310,11.733
735,83.87
187,99.99
1322,96.31
3070,79.219
1686,41.6
677,46.34
203,99.0
3459,8.36
415,88.02
516,95.73
917,0.779
2627,99.9
344,45.049
1761,96.83
1588,77.494
294,83.94
1753,34.272
1096,20.247
904,79.58
642,71.442
2886,86.925
3050,12.84
3044,1.65
1892,99.9
2809,32.97
2873,3.371
2574,99.99
1168,99.9
593,45.24
1945,99.99
2770,1.0
260,69.303
3065,2.675
832,18.81
1343,3.821
272,11.68
3031,99.0
1115,75.878
500,18.44
2345,67.5
2328,79.022
2774,98.64
2052,70.93
2504,75.3
2724,99.99
3371,0.0
1319,99.0
2800,0.84
2275,51.143
3447,0.12
1570,92.127
3338,36.39
1836,57.372
3345,78.697
1894,21.03
2805,11.348
2265,95.826
360,0.01
3097,66.06
620,5.293
2480,30.11
986,29.139
34,58.7
690,48.784
3123,71.77
2062,99.9
376,99.99
101,7.948
3336,10.475
1486,9.59
2892,96.35
939,23.438
1601,72.937
946,0.41
1258,99.99
1683,99.99
2522,0.164
2988,63.435
1455,99.0
506,54.577
1543,50.45
1453,77.507
1878,71.829
1205,1.03
2543,12.926
61,83.01
1175,0.699
3484,6.86
2297,72.5
3106,91.036
2797,69.75
456,27.729
1550,10.79
1116,99.9
2500,90.29
519,3.34
394,45.81
2433,0.49
147,61.21
2733,63.677
3390,77.379
50,1.16
72,4.7
3290,79.742
1786,4.89
36,82.29
2979,18.129
2312,12.401
1145,65.45
3466,9.861
2330,30.56
142,63.91
1471,99.9
312,67.703
3483,44.138
2662,99.99
3455,22.1
3408,99.9
2920,7.915
1192,99.99
2170,77.65
1317,82.488
2531,89.962
2565,93.95
3007,10.78
1170,86.63
2527,99.0
2931,22.225
152,77.25
1451,99.0
3343,1.61
1611,1.62
2799,63.957
3166,11.9
1073,47.157
1639,24.897
42,67.631
3036,3.06
5,66.63
55,96.918
2070,36.053
1677,34.33
987,61.725
1067,95.624
2512,19.1
511,61.488
3320,99.99
1738,1.63
2921,71.686
1335,73.19
1710,55.21
241,0.012
2617,87.702
2722,99.99
1665,63.056
255,1.89
3294,59.504
1746,46.6
1279,99.0
871,0.52
2912,87.348
2741,9.758
893,5.018
1419,3.93
1801,3.927
2357,26.94
1854,0.0
915,1.52
3234,99.9
473,15.715
2398,94.961
985,86.07
3490,6.578
3465,0.061
335,75.09
551,75.125
1285,85.103
328,62.26
2918,85.58
2628,9.546
66,87.058
1716,87.545
1942,91.145
2078,89.41
2896,10.71
718,28.49
2140,41.68
2158,88.852
744,56.15
140,86.695
1880,69.299
1097,42.174
1029,99.99
1082,1.2
2347,3.532
2074,99.9
3213,62.854
583,44.15
1841,70.72
3416,31.381
930,75.41
2486,11.446
108,0.0
1119,23.43
1628,75.373
102,29.747
1866,25.01
3322,56.11
1884,99.0
2828,52.74
2952,9.673
3401,2.648
278,77.774
3292,99.99
1669,99.0
185,61.64
2453,5.88
208,75.74
1193,1.0
1220,57.25
1726,21.2
3319,2.23
724,0.28
1733,2.846
3254,59.693
19,42.906
1150,12.657
468,99.99
3377,89.527
54,0.441
1213,99.17
1529,99.9
1859,1.0
2374,83.776
1088,91.81
2493,17.853
3347,21.11
2791,99.9
2307,95.049
1537,0.0
3388,99.0
2291,99.0
1137,82.456
2845,76.96
750,10.9
2161,46.36
1126,31.01
82,68.768
122,89.25
3445,86.26
2518,94.18
3356,70.959
2373,86.1
3276,6.76
3205,1.0
1568,98.713
2277,51.76
2102,99.54
3423,97.45
1372,87.3
2268,61.9
2216,54.264
3107,59.82
689,88.049
1146,99.99
1069,0.02
214,80.945
2207,16.679
2690,65.88
2189,12.6
38,54.414
2902,5.293
2377,79.68
1076,99.99
2983,80.57
3011,54.781
339,83.96
1528,99.0
2993,56.075
293,18.994
1676,23.03
2946,26.434
3492,83.464
978,33.059
2168,0.72
2540,90.877
1661,7.736
2714,0.14
2125,50.065
811,99.99
479,1.736
2645,11.56
974,3.158
1295,49.428
726,43.93
1421,33.27
2717,49.8
3149,31.19
2866,79.992
1008,18.225
3045,28.62
1228,99.99
2310,64.229
434,92.359
2360,99.0
2449,18.491
561,29.192
205,62.5
1682,3.34
3335,88.51
1516,72.919
2688,85.66
658,2.95
3283,5.751
2096,61.28
89,64.05
644,99.99
760,81.449
1050,68.57
823,6.55
1234,68.26
1893,99.0
3414,69.106
1520,2.91
2700,87.68
2725,37.626
143,3.54
785,99.128
2050,23.48
1864,92.17
2143,99.99
2513,6.508
171,35.76
412,75.32
416,62.161
2162,89.69
1294,89.53
2445,31.244
3087,53.332
364,9.551
2666,99.99
740,99.99
73,8.103
2736,2.6
2795,18.07
1265,25.461
1988,21.545
1492,82.79
1216,66.069
2606,18.65
2099,28.56
3227,99.99
1998,99.99
631,0.45
3281,76.067
2670,42.91
1080,99.0
1405,4.2
632,1.0
1456,51.6
2035,94.88
2961,77.06
1851,50.848
3476,91.04
1802,92.328
178,81.019
498,55.4
484,14.18
2764,53.838
2254,1.86
2692,42.63
877,33.103
1166,99.99
1689,99.99
1340,1.35
3432,43.16
2838,96.45
759,56.331
1597,5.751
1356,90.69
3228,4.949
1598,5.852
992,73.696
2093,35.98
3267,99.99
2586,103.72
1843,20.123
2541,12.46
3427,5.87
319,61.01
184,0.0
3374,99.0
2399,5.17
2501,99.99
2028,98.439
839,0.079
2922,20.391
539,1.35
1154,2.48
801,39.28
2249,75.605
1135,0.0
210,32.131
65,36.08
863,50.621
2625,0.15
2587,81.091
1132,87.85
1026,83.56
341,65.177
875,41.797
1506,2.628
372,72.835
889,0.34
3015,73.34
2315,76.322
2600,69.79
1325,74.42
3008,16.86
96,13.036
2288,61.43
2381,96.36
3214,1.37
129,59.847
2119,65.47
1635,55.22
1985,86.12
3385,33.431
2302,31.358
2776,7.15
2911,10.96
370,62.17
1788,48.604
2116,59.04
1820,6.742
994,0.64
881,9.86
737,5.83
231,85.464
377,34.75
2833,99.99
2615,94.34
432,55.83
1361,10.181
1378,3.521
1591,32.79
1143,91.66
172,78.21
1876,7.06
814,99.0
948,38.571
16,66.631
2026,9.03
2020,0.707
3352,24.25
367,99.99
1406,0.075
3435,69.87
3257,65.85
2294,62.87
2416,99.99
2953,66.878
1848,88.07
2661,10.393
1935,2.66
2552,54.35
1624,53.87
3355,72.556
542,92.247
1459,1.0
1668,23.107
1903,56.62
552,57.36
362,99.99
549,99.9
2539,99.9
81,57.27
1730,99.99
3271,89.593
355,96.686
2083,12.307
554,70.507
693,74.853
2597,87.78
649,93.23
2832,96.33
3473,41.78
420,99.9
1229,27.54
1089,99.9
2945,99.99
960,4.787
1164,71.31
371,96.56
3092,49.28
2406,93.006
1575,99.99
1484,5.866
3124,73.242
1858,83.54
258,53.732
769,41.404
2061,29.51
2018,4.63
114,39.402
1816,69.52
1594,98.442
957,56.084
679,19.34
56,22.004
3346,90.89
435,99.9
1057,85.761
155,13.893
2482,98.047
1016,45.256
60,85.03
2077,99.9
782,95.99
35,99.0
2935,21.343
1650,6.382
1060,81.93
358,23.12
1123,1.45
3436,0.45
524,74.94
1200,41.335
2719,72.046
265,63.812
1585,53.713
1664,66.0
1968,0.6
1518,22.666
3358,78.17
2737,4.538
2484,70.051
336,23.153
1156,0.808
887,72.64
494,59.624
580,26.981
3349,65.498
2479,62.952
3300,65.114
1189,67.58
2855,74.2
212,99.99
3485,6.06
1064,1.12
75,64.073
3127,56.81
1312,4.448
1031,52.633
3043,85.85
247,53.69
1595,84.53
3263,17.401
1500,96.68
1919,14.875
186,5.21
2455,87.354
2015,99.9
2056,32.385
2404,0.17
1622,39.58
2464,86.903
1075,99.99
2422,99.99
2779,54.778
1781,93.28
1655,3.494
32,78.013
2986,0.3
1124,58.839
2507,1.686
445,41.6
2998,49.89
464,7.15
3458,55.443
2179,99.86
1681,62.12
2314,82.65
1809,28.54
1946,22.443
2450,26.21
243,45.748
1704,99.0
401,32.6
2032,99.0
1984,49.76
3446,9.34
450,7.53
1227,72.97
3497,2.65
2703,83.173
2333,0.58
471,26.79
2534,1.663
3172,46.73
3016,88.27
1674,66.898
2385,47.93
2762,0.0
1787,0.588
1833,15.781
611,5.102
1407,99.99
3389,36.45
2969,62.49
2720,95.964
2122,49.033
2784,62.817
2441,67.799
3032,31.118
3367,87.8
2321,0.367
1218,50.244
1776,99.0
1498,0.0
3041,75.492
3068,1.34
2097,21.93
1729,67.125
540,1.08
110,82.21
1631,59.53
510,68.13
1613,92.019
1995,90.865
2790,80.48
2045,87.67
2092,24.025
2781,21.479
1719,13.701
1607,37.3
2932,32.551
78,48.46
2475,54.227
2317,49.454
1996,45.31
2470,99.0
313,28.498
2564,14.205
1307,89.982
911,73.95
697,1.214
2386,82.669
466,50.25
1019,30.572
363,28.49
1842,71.798
3262,80.656
1344,88.22
1360,70.2
2963,89.17
2069,88.38
2877,99.9
3429,73.111
1524,1.258
1034,0.201
83,62.58
79,92.326
662,99.57
1439,1.0
3407,45.02
919,37.354
1440,46.3
2821,1.593
2657,1.0
2466,85.55
2253,13.991
2376,97.7
808,13.601
1510,39.01
656,97.802
1921,76.575
1442,6.947
3303,51.04
858,19.472
1803,84.02
2499,3.965
2843,86.662
2533,26.24
844,44.69
833,58.12
1614,78.12
213,72.96
3067,51.475
131,99.99
439,59.162
2974,0.76
2421,4.4
1609,70.982
853,5.12
448,89.907
3341,10.938
2802,41.4
3189,66.691
3216,64.55
1727,99.0
103,76.729
523,99.9
1102,66.39
1821,90.27
1415,77.78
165,1.22
2985,53.646
907,67.11
2397,7.14
3456,23.9
2419,99.99
1860,41.071
2594,58.42
1741,1.838
395,6.103
625,33.545
695,58.144
947,2.34
761,68.736
2311,99.99
1383,80.62
2228,29.877
3393,99.34
1401,78.221
645,94.98
3236,57.74
2663,20.14
3418,81.168
1882,84.74
771,0.041
3139,1.34
51,7.63
2728,0.23
1375,56.93
1121,92.516
3180,23.82
1035,99.99
2451,79.388
2286,61.5
2145,92.7
2984,34.63
111,20.08
183,98.2
2517,10.718
613,99.99
2637,0.21
3282,52.522
1706,88.33
1557,92.18
3373,30.25
1711,3.079
1178,99.9
2129,24.322
397,13.34
1291,9.803
1630,82.92
3005,91.018
2699,99.99
1743,89.938
2136,75.909
2086,0.1
3350,99.99
2596,1.28
571,0.14
3495,1.79
3076,53.009
2677,22.546
2309,94.66
1534,64.97
3148,23.5
1874,99.0
356,7.375
608,95.01
239,99.9
3387,3.2
2940,55.821
2167,0.016
1814,16.783
374,88.452
3291,8.34
1937,78.141
1321,2.294
1125,68.526
3098,99.99
1527,1.0
2573,42.61
2819,62.35
729,74.95
2458,94.242
2495,30.05
1391,0.92
3121,46.953
1408,99.99
3178,7.56
2264,14.92
382,7.638
2747,53.82
1502,88.55
2768,90.798
3073,53.58
1320,74.204
2948,52.33
1233,12.62
2236,64.913
3204,0.33
681,70.619
2664,40.75
1274,91.29
2364,33.961
123,99.99
660,0.019
1796,59.354
2579,50.45
2303,99.9
1960,39.16
3056,99.99
230,0.11
901,79.803
2794,89.922
765,92.86
3079,75.593
2853,98.34
2428,98.68
2815,13.45
1745,35.09
787,99.0
2149,83.313
3243,3.921
2752,42.198
421,21.4
2871,76.048
1873,99.99
3198,33.01
2138,68.78
798,92.341
1870,13.649
2007,99.0
2571,2.28
626,52.47
495,90.091
2869,67.13
1616,27.41
1782,51.503
2206,3.203
1890,1.0
790,49.003
2557,46.503
3028,99.9
2414,49.814
3272,1.048
2276,31.453
3162,53.29
417,95.714
742,52.875
2127,52.92
1214,61.26
492,79.38
1909,89.192
1169,99.9
2608,94.49
1342,84.643
824,85.242
2887,80.95
2870,81.47
1481,7.97
3314,93.009
3305,43.726
3102,89.65
1024,75.33
2461,3.751
592,49.13
2964,88.89
3251,92.2
3153,88.33
2508,99.0
1797,99.0
2713,99.0
127,1.24
2959,22.014
2437,91.221
403,55.776
150,1.093
3370,1.21
2394,85.886
1437,32.688
1629,50.66
2831,99.99
2442,99.99
62,70.13
2336,0.62
2256,15.3
2544,80.185
2400,50.049
95,79.5
959,99.99
2191,39.008
3025,3.2
1576,98.66
2754,35.443
2153,19.86
236,40.076
222,99.0
3273,83.66
2393,73.549
1810,44.0
120,76.354
1685,99.0
2636,99.0
3496,2.77
2380,36.55
2639,0.32
193,12.29
2283,68.715
181,88.837
3135,99.99
389,8.738
968,58.066
3259,86.767
1545,40.7
669,66.96
3364,86.168
1365,96.51
1394,25.91
331,0.383
614,84.923
1286,90.901
266,22.461
1932,58.8
2199,47.99
2593,99.9
1807,99.99
225,31.1
105,17.326
2413,99.99
1508,4.243
3437,95.47
630,10.449
2068,0.836
870,72.68
2290,88.272
2098,2.331
1186,99.99
2489,0.965
1891,1.0
1755,2.943
1926,27.72
707,99.9
2822,67.47
2949,83.7
2349,1.75
2220,7.81
1688,0.24
284,46.48
1659,99.0
920,80.18
1433,48.84
3209,5.141
3265,20.33
734,99.99
1812,29.01
2392,67.1
2354,99.99
3462,22.46
922,30.091
1402,70.603
3280,99.99
167,2.54
2469,61.67
2273,12.0
3242,95.361
12,4.273
1546,80.13
617,27.879
1092,106.51
90,0.39
612,80.577
3163,9.1
1404,93.738
857,10.666
2878,99.734
777,16.162
1638,52.957
1986,92.28
2352,62.348
3309,74.739
28,54.218
1522,47.776
1066,99.9
1911,6.8
2538,92.6
74,72.384
515,84.999
1309,99.99
2609,1.741
2227,28.66
2002,76.63
2157,92.3
1584,135.336
1517,91.352
116,9.026
2341,90.166
1072,63.008
2691,69.53
1799,49.98
3173,58.334
2914,67.464
1600,91.96
622,77.137
3146,61.724
409,82.442
2684,5.91
1623,2.22
115,97.176
288,64.638
2907,84.373
1181,7.81
337,70.29
2687,85.75
46,39.943
747,76.95
3195,65.267
753,25.048
462,99.99
1938,23.95
673,18.886
2712,6.328
1201,68.055
3137,28.622
424,82.99
325,7.03
664,97.442
350,74.02
447,65.08
709,12.13
1924,13.714
1722,1.377
1221,0.011
2939,28.836
1149,56.93
387,25.206
1369,21.79
1337,80.709
754,49.152
2186,99.9
451,24.67
1194,0.34
699,99.99
2247,55.702
1608,77.57
830,49.8
950,57.16
3311,81.386
2444,76.75
1734,99.2
1413,1.62
1409,73.2
3475,25.967
3089,85.57
1177,0.28
3049,5.57
2006,55.634
1253,90.995
2477,96.966
21,51.664
1305,97.69
2814,16.422
2440,12.81
2298,94.33
3405,57.0
671,1.92
3279,76.805
1941,97.185
845,2.046
694,55.803
2885,99.9
1353,0.377
1133,2.8
869,12.224
604,62.701
834,76.28
2861,85.339
627,4.801
902,80.8
1747,99.9
2748,74.74
2051,50.79
2757,65.51
3464,6.719
321,99.9
696,89.984
1179,30.63
2778,67.5
624,37.51
3240,99.99
2173,4.53
1011,13.72
1480,99.99
1090,7.913
848,94.572
3048,45.8
780,99.99
605,3.13
174,93.81
1202,95.14
2269,85.441
2463,22.92
100,99.9
1243,88.179
741,0.0
334,0.26
2882,1.601
1705,67.96
2881,71.578
594,95.1
1333,99.99
2214,0.005
3384,0.061
1551,17.4
2919,16.27
1542,99.0
2968,59.944
327,99.99
1933,99.9
640,66.584
2152,83.29
2042,52.8
2863,99.9
1468,99.9
1838,14.452
3391,95.983
460,11.46
1046,80.753
1398,35.917
1562,86.17
1975,68.52
2633,1.87
419,0.16
738,97.86
1879,99.99
1389,65.07
1438,31.128
497,12.81
2750,3.06
375,7.325
975,18.378
1209,17.02
3078,99.9
404,75.239
2467,99.99
1425,3.358
93,42.46
1769,97.14
2221,99.0
2738,0.0
1849,34.54
827,4.817
428,60.322
1889,99.99
3006,66.85
3244,6.375
2766,0.54
282,43.152
2899,4.681
343,44.299
2683,9.232
2786,91.63
2547,12.141
1113,92.09
1574,92.535
691,70.72
0,50.68
1582,99.99
1707,21.69
1416,82.58
2021,63.906
2003,46.7
1993,99.0
1131,32.74
2304,5.327
1247,87.802
3104,81.05
2375,97.5
2150,63.29
2261,99.78
3491,85.31
1159,53.645
2900,51.48
246,1.39
3472,83.807
3136,74.74
2685,31.03
1671,84.76
929,91.0
3197,71.057
1461,9.84
1971,99.9
365,60.384
2296,99.0
736,99.99
26,21.6
2884,36.69
1441,99.0
3323,29.65
680,64.32
3064,91.192
1250,70.72
3,2.0
2182,70.2
837,62.488
2403,95.458
292,91.508
698,2.53
1048,77.207
3225,48.04
2417,72.29
3411,27.79
1667,42.09
1963,64.39
1249,99.0
2274,71.702
1298,15.46
1868,46.318
2387,99.9
1443,98.422
2671,93.63
603,70.851
1289,10.448
2502,55.77
63,36.757
1579,5.866
1883,7.225
990,78.47
1384,0.45
237,1.53
650,3.899
1967,3.06
112,53.72
1348,54.635
804,60.794
1556,86.96
577,34.78
1834,44.76
126,99.99
3112,70.304
3185,72.76
851,40.659
2742,99.9
2185,99.097
3141,94.429
7,25.121
2550,52.64
854,27.57
2995,64.18
2679,67.51
3325,30.138
2977,46.49
3175,43.449
407,99.99
3451,17.568
2405,99.0
153,99.834
1566,33.161
2391,0.18
2353,64.272
1004,99.99
2660,99.99
3096,70.6
280,22.322
3233,84.71
3442,99.99
400,89.94
1596,90.584
1497,99.9
2516,93.23
1479,78.52
1800,0.18
2009,89.17
504,99.0
2582,35.286
1744,99.99
903,98.601
2040,0.51
1672,11.65
550,51.1
1862,38.833
3394,1.0
1805,41.46
3147,51.88
1130,15.982
945,99.0
163,76.85
1660,0.233
1690,99.9
2384,75.73
2107,25.32
3375,1.386
1514,44.161
449,50.938
2903,31.52
941,40.7
2834,95.531
3301,2.25
1532,5.305
1847,99.9
437,99.99
1314,99.99
786,0.006
873,45.69
739,29.506
2867,9.01
1006,99.9
1844,58.9
586,8.758
1306,52.27
2989,42.07
348,32.27
2471,22.803
1028,83.628
1163,38.87
2511,18.13
3379,73.713
1541,17.08
2701,74.694
573,99.99
647,35.21
595,2.683
2938,69.97
1251,0.648
1558,99.9
1308,45.0
470,60.4
800,99.99
281,25.279
932,55.18
732,0.43
2763,82.462
2880,54.93
2999,83.95
3183,89.455
1144,13.489
1617,66.78
3085,0.0
3126,99.9
2503,11.234
584,88.92
2195,99.0
160,44.264
1111,64.328
2798,21.53
1915,97.37
859,35.86
952,42.71
3420,1.32
1331,88.49
